probe	class	dirct
hsa-mir-18a	RWR-F1	down
hsa-mir-17	RWR-F1	down
hsa-mir-301b	RWR-F1	down
hsa-mir-505	RWR-F1	down
hsa-mir-188	RWR-F1	down
hsa-mir-197	RWR-F1	down
hsa-mir-106b	RWR-F1	down
hsa-mir-130b	RWR-F1	down
hsa-mir-9-3	RWR-F1	down
hsa-mir-9-1	RWR-F1	down
hsa-mir-9-2	RWR-F1	down
hsa-mir-877	RWR-F1	down
hsa-mir-934	RWR-F1	down
hsa-mir-590	RWR-F1	down
hsa-mir-210	RWR-F1	down
hsa-mir-3200	RWR-F1	down
hsa-mir-7112	RWR-F1	down
hsa-mir-1307	RWR-F1	down
hsa-mir-577	RWR-F1	down
hsa-mir-135b	RWR-F1	down
hsa-mir-4664	RWR-F1	down
hsa-mir-105-1	RWR-F1	down
hsa-mir-532	RWR-F1	down
hsa-mir-20a	RWR-F1	down
hsa-mir-92a-1	RWR-F1	down
hsa-mir-92a-2	RWR-F1	down
hsa-mir-19a	RWR-F1	down
hsa-mir-224	RWR-F1	down
hsa-mir-324	RWR-F1	down
hsa-mir-301a	RWR-F1	down
hsa-mir-502	RWR-F1	down
hsa-mir-33a	RWR-F1	down
hsa-mir-6728	RWR-F1	down
hsa-mir-942	RWR-F1	down
hsa-mir-4766	RWR-F1	down
hsa-mir-671	RWR-F1	down
hsa-mir-1301	RWR-F1	down
hsa-mir-522	RWR-F1	down
hsa-mir-455	RWR-F1	down
hsa-mir-105-2	RWR-F1	down
hsa-mir-519a-2	RWR-F1	down
hsa-mir-579	RWR-F1	down
hsa-mir-501	RWR-F1	down
hsa-mir-93	RWR-F1	down
hsa-mir-937	RWR-F1	down
hsa-mir-362	RWR-F1	down
hsa-mir-519a-1	RWR-F1	down
hsa-mir-500b	RWR-F1	down
hsa-mir-500a	RWR-F1	down
hsa-mir-19b-1	RWR-F1	down
hsa-mir-767	RWR-F1	down
hsa-mir-1306	RWR-F1	down
hsa-mir-570	RWR-F1	down
hsa-mir-516a-1	RWR-F1	down
hsa-mir-548b	RWR-F1	down
hsa-mir-940	RWR-F1	down
hsa-mir-516a-2	RWR-F1	down
hsa-mir-3682	RWR-F1	down
hsa-mir-548d-1	RWR-F1	down
hsa-mir-6783	RWR-F1	down
hsa-mir-1276	RWR-F1	down
hsa-mir-19b-2	RWR-F1	down
hsa-mir-1226	RWR-F1	down
hsa-mir-636	RWR-F1	down
hsa-mir-6832	RWR-F1	down
hsa-mir-24-1	RWR-F1	down
