probe	class	dirct
hsa-mir-190b	RWR-F1	up
hsa-mir-139	RWR-F1	up
hsa-mir-101-2	RWR-F1	up
hsa-mir-101-1	RWR-F1	up
hsa-mir-195	RWR-F1	up
hsa-mir-29c	RWR-F1	up
hsa-let-7a-2	RWR-F1	up
hsa-let-7a-1	RWR-F1	up
hsa-let-7a-3	RWR-F1	up
hsa-let-7b	RWR-F1	up
hsa-mir-10b	RWR-F1	up
hsa-mir-30a	RWR-F1	up
hsa-mir-10a	RWR-F1	up
hsa-mir-5694	RWR-F1	up
hsa-mir-337	RWR-F1	up
hsa-mir-218-2	RWR-F1	up
hsa-mir-5691	RWR-F1	up
hsa-mir-342	RWR-F1	up
hsa-mir-26a-1	RWR-F1	up
hsa-mir-26a-2	RWR-F1	up
hsa-mir-218-1	RWR-F1	up
hsa-mir-202	RWR-F1	up
hsa-mir-34c	RWR-F1	up
hsa-mir-100	RWR-F1	up
hsa-mir-1-1	RWR-F1	up
hsa-mir-664a	RWR-F1	up
hsa-mir-375	RWR-F1	up
hsa-let-7c	RWR-F1	up
hsa-mir-379	RWR-F1	up
hsa-mir-497	RWR-F1	up
hsa-mir-1-2	RWR-F1	up
hsa-mir-99a	RWR-F1	up
hsa-mir-184	RWR-F1	up
hsa-mir-204	RWR-F1	up
hsa-mir-382	RWR-F1	up
hsa-mir-758	RWR-F1	up
hsa-mir-145	RWR-F1	up
hsa-mir-127	RWR-F1	up
hsa-mir-26b	RWR-F1	up
hsa-mir-625	RWR-F1	up
hsa-mir-135a-2	RWR-F1	up
hsa-mir-29a	RWR-F1	up
hsa-mir-3926-2	RWR-F1	up
hsa-mir-409	RWR-F1	up
hsa-mir-487b	RWR-F1	up
hsa-mir-30c-2	RWR-F1	up
hsa-mir-432	RWR-F1	up
hsa-mir-410	RWR-F1	up
hsa-mir-190a	RWR-F1	up
hsa-mir-199a-1	RWR-F1	up
hsa-mir-381	RWR-F1	up
hsa-mir-944	RWR-F1	up
hsa-mir-135a-1	RWR-F1	up
hsa-mir-125b-1	RWR-F1	up
hsa-mir-125b-2	RWR-F1	up
hsa-mir-1258	RWR-F1	up
hsa-mir-143	RWR-F1	up
hsa-mir-654	RWR-F1	up
hsa-mir-1247	RWR-F1	up
hsa-mir-182	RWR-F1	up
hsa-mir-653	RWR-F1	up
hsa-mir-199a-2	RWR-F1	up
hsa-mir-431	RWR-F1	up
hsa-mir-134	RWR-F1	up
hsa-mir-5683	RWR-F1	up
hsa-mir-496	RWR-F1	up
hsa-mir-411	RWR-F1	up
hsa-mir-370	RWR-F1	up
hsa-mir-377	RWR-F1	up
hsa-mir-1245a	RWR-F1	up
hsa-mir-152	RWR-F1	up
hsa-mir-154	RWR-F1	up
hsa-mir-495	RWR-F1	up
hsa-let-7f-1	RWR-F1	up
hsa-mir-494	RWR-F1	up
hsa-mir-29b-2	RWR-F1	up
hsa-mir-205	RWR-F1	up
hsa-let-7f-2	RWR-F1	up
hsa-mir-199b	RWR-F1	up
hsa-mir-369	RWR-F1	up
hsa-mir-34b	RWR-F1	up
hsa-mir-483	RWR-F1	up
hsa-mir-30c-1	RWR-F1	up
hsa-mir-656	RWR-F1	up
hsa-mir-542	RWR-F1	up
hsa-mir-125a	RWR-F1	up
hsa-mir-4790	RWR-F1	up
hsa-mir-449a	RWR-F1	up
hsa-mir-299	RWR-F1	up
hsa-mir-655	RWR-F1	up
hsa-mir-214	RWR-F1	up
hsa-mir-889	RWR-F1	up
hsa-mir-539	RWR-F1	up
hsa-mir-376a-1	RWR-F1	up
hsa-mir-22	RWR-F1	up
hsa-mir-1262	RWR-F1	up
hsa-mir-3912	RWR-F1	up
hsa-mir-493	RWR-F1	up
hsa-mir-3926-1	RWR-F1	up
hsa-mir-433	RWR-F1	up
hsa-mir-18a	RWR-F2	up
hsa-mir-17	RWR-F2	up
hsa-mir-301b	RWR-F2	up
hsa-mir-505	RWR-F2	up
hsa-mir-188	RWR-F2	up
hsa-mir-197	RWR-F2	up
hsa-mir-106b	RWR-F2	up
hsa-mir-130b	RWR-F2	up
hsa-mir-9-3	RWR-F2	up
hsa-mir-9-1	RWR-F2	up
hsa-mir-9-2	RWR-F2	up
hsa-mir-877	RWR-F2	up
hsa-mir-934	RWR-F2	up
hsa-mir-590	RWR-F2	up
hsa-mir-210	RWR-F2	up
hsa-mir-3200	RWR-F2	up
hsa-mir-7112	RWR-F2	up
hsa-mir-1307	RWR-F2	up
hsa-mir-577	RWR-F2	up
hsa-mir-135b	RWR-F2	up
hsa-mir-4664	RWR-F2	up
hsa-mir-105-1	RWR-F2	up
hsa-mir-532	RWR-F2	up
hsa-mir-20a	RWR-F2	up
hsa-mir-92a-1	RWR-F2	up
hsa-mir-92a-2	RWR-F2	up
hsa-mir-19a	RWR-F2	up
hsa-mir-224	RWR-F2	up
hsa-mir-324	RWR-F2	up
hsa-mir-301a	RWR-F2	up
hsa-mir-502	RWR-F2	up
hsa-mir-33a	RWR-F2	up
hsa-mir-6728	RWR-F2	up
hsa-mir-942	RWR-F2	up
hsa-mir-4766	RWR-F2	up
hsa-mir-671	RWR-F2	up
hsa-mir-1301	RWR-F2	up
hsa-mir-522	RWR-F2	up
hsa-mir-455	RWR-F2	up
hsa-mir-105-2	RWR-F2	up
hsa-mir-519a-2	RWR-F2	up
hsa-mir-579	RWR-F2	up
hsa-mir-501	RWR-F2	up
hsa-mir-93	RWR-F2	up
hsa-mir-937	RWR-F2	up
hsa-mir-362	RWR-F2	up
hsa-mir-519a-1	RWR-F2	up
hsa-mir-500b	RWR-F2	up
hsa-mir-500a	RWR-F2	up
hsa-mir-19b-1	RWR-F2	up
hsa-mir-767	RWR-F2	up
hsa-mir-1306	RWR-F2	up
hsa-mir-570	RWR-F2	up
hsa-mir-516a-1	RWR-F2	up
hsa-mir-548b	RWR-F2	up
hsa-mir-940	RWR-F2	up
hsa-mir-516a-2	RWR-F2	up
hsa-mir-3682	RWR-F2	up
hsa-mir-548d-1	RWR-F2	up
hsa-mir-6783	RWR-F2	up
hsa-mir-1276	RWR-F2	up
hsa-mir-19b-2	RWR-F2	up
hsa-mir-1226	RWR-F2	up
hsa-mir-636	RWR-F2	up
hsa-mir-6832	RWR-F2	up
hsa-mir-24-1	RWR-F2	up
hsa-mir-3680-1	RWR-F2	up
hsa-mir-4787	RWR-F2	up
hsa-mir-24-2	RWR-F2	up
hsa-mir-219b	RWR-F2	up
hsa-mir-548f-1	RWR-F2	up
hsa-mir-345	RWR-F2	up
hsa-mir-138-2	RWR-F2	up
hsa-mir-766	RWR-F2	up
hsa-mir-5699	RWR-F2	up
hsa-mir-421	RWR-F2	up
hsa-mir-576	RWR-F2	up
hsa-mir-452	RWR-F2	up
hsa-mir-15b	RWR-F2	up
hsa-mir-7974	RWR-F2	up
hsa-mir-3137	RWR-F2	up
hsa-mir-186	RWR-F2	up
hsa-mir-939	RWR-F2	up
hsa-mir-6814	RWR-F2	up
hsa-mir-545	RWR-F2	up
hsa-mir-1915	RWR-F2	up
hsa-mir-5002	RWR-F2	up
hsa-mir-3677	RWR-F2	up
hsa-mir-4677	RWR-F2	up
hsa-mir-5092	RWR-F2	up
hsa-mir-4661	RWR-F2	up
hsa-mir-454	RWR-F2	up
hsa-mir-4665	RWR-F2	up
hsa-mir-548ao	RWR-F2	up
hsa-mir-616	RWR-F2	up
hsa-mir-6798	RWR-F2	up
hsa-mir-4658	RWR-F2	up
hsa-mir-4652	RWR-F2	up
hsa-mir-1277	RWR-F2	up
hsa-mir-3136	RWR-F2	up
