probe	class	dirct
hsa-mir-18a	RWR-NF1	down
hsa-mir-934	RWR-NF1	down
hsa-mir-577	RWR-NF1	down
hsa-mir-505	RWR-NF1	down
hsa-mir-135b	RWR-NF1	down
hsa-mir-17	RWR-NF1	down
hsa-mir-224	RWR-NF1	down
hsa-mir-877	RWR-NF1	down
hsa-mir-452	RWR-NF1	down
hsa-mir-130b	RWR-NF1	down
hsa-mir-106b	RWR-NF1	down
hsa-mir-301b	RWR-NF1	down
hsa-mir-19a	RWR-NF1	down
hsa-mir-188	RWR-NF1	down
hsa-mir-590	RWR-NF1	down
hsa-mir-942	RWR-NF1	down
hsa-mir-6728	RWR-NF1	down
hsa-mir-519a-1	RWR-NF1	down
hsa-mir-7112	RWR-NF1	down
hsa-mir-9-1	RWR-NF1	down
hsa-mir-9-3	RWR-NF1	down
hsa-mir-9-2	RWR-NF1	down
hsa-mir-197	RWR-NF1	down
hsa-mir-20a	RWR-NF1	down
hsa-mir-502	RWR-NF1	down
hsa-mir-516a-1	RWR-NF1	down
hsa-mir-455	RWR-NF1	down
hsa-mir-138-2	RWR-NF1	down
hsa-mir-522	RWR-NF1	down
hsa-mir-378a	RWR-NF1	down
hsa-mir-516a-2	RWR-NF1	down
hsa-mir-19b-1	RWR-NF1	down
hsa-mir-105-1	RWR-NF1	down
hsa-mir-92a-1	RWR-NF1	down
hsa-mir-767	RWR-NF1	down
hsa-mir-500b	RWR-NF1	down
hsa-mir-105-2	RWR-NF1	down
hsa-mir-519a-2	RWR-NF1	down
hsa-mir-92a-2	RWR-NF1	down
hsa-mir-532	RWR-NF1	down
hsa-mir-500a	RWR-NF1	down
hsa-mir-501	RWR-NF1	down
hsa-mir-19b-2	RWR-NF1	down
hsa-mir-579	RWR-NF1	down
hsa-mir-6499	RWR-NF1	down
hsa-mir-186	RWR-NF1	down
hsa-mir-138-1	RWR-NF1	down
hsa-mir-584	RWR-NF1	down
hsa-mir-3682	RWR-NF1	down
hsa-mir-5002	RWR-NF1	down
hsa-mir-548s	RWR-NF1	down
hsa-mir-24-2	RWR-NF1	down
hsa-mir-24-1	RWR-NF1	down
hsa-mir-4766	RWR-NF1	down
hsa-mir-93	RWR-NF1	down
hsa-mir-576	RWR-NF1	down
hsa-mir-3200	RWR-NF1	down
hsa-mir-1307	RWR-NF1	down
