probe	class	dirct
hsa-mir-190b	RWR-NF1	up
hsa-mir-29c	RWR-NF1	up
hsa-mir-10b	RWR-NF1	up
hsa-mir-5694	RWR-NF1	up
hsa-mir-375	RWR-NF1	up
hsa-mir-342	RWR-NF1	up
hsa-mir-10a	RWR-NF1	up
hsa-let-7a-3	RWR-NF1	up
hsa-let-7a-1	RWR-NF1	up
hsa-let-7a-2	RWR-NF1	up
hsa-mir-101-2	RWR-NF1	up
hsa-mir-101-1	RWR-NF1	up
hsa-mir-5691	RWR-NF1	up
hsa-mir-664a	RWR-NF1	up
hsa-let-7b	RWR-NF1	up
hsa-mir-139	RWR-NF1	up
hsa-mir-125a	RWR-NF1	up
hsa-mir-337	RWR-NF1	up
hsa-mir-195	RWR-NF1	up
hsa-mir-149	RWR-NF1	up
hsa-mir-34c	RWR-NF1	up
hsa-mir-30a	RWR-NF1	up
hsa-mir-625	RWR-NF1	up
hsa-mir-184	RWR-NF1	up
hsa-mir-26a-2	RWR-NF1	up
hsa-mir-26a-1	RWR-NF1	up
hsa-mir-758	RWR-NF1	up
hsa-mir-449a	RWR-NF1	up
hsa-mir-26b	RWR-NF1	up
hsa-mir-409	RWR-NF1	up
hsa-mir-127	RWR-NF1	up
hsa-let-7e	RWR-NF1	up
hsa-mir-653	RWR-NF1	up
hsa-mir-365a	RWR-NF1	up
hsa-mir-365b	RWR-NF1	up
hsa-mir-382	RWR-NF1	up
hsa-mir-202	RWR-NF1	up
hsa-mir-199a-1	RWR-NF1	up
hsa-mir-3926-2	RWR-NF1	up
hsa-mir-487b	RWR-NF1	up
hsa-mir-145	RWR-NF1	up
hsa-mir-379	RWR-NF1	up
hsa-mir-3678	RWR-NF1	up
hsa-mir-218-2	RWR-NF1	up
hsa-mir-182	RWR-NF1	up
hsa-mir-497	RWR-NF1	up
hsa-mir-654	RWR-NF1	up
hsa-mir-135a-2	RWR-NF1	up
hsa-mir-431	RWR-NF1	up
hsa-mir-199a-2	RWR-NF1	up
hsa-mir-887	RWR-NF1	up
hsa-mir-1-1	RWR-NF1	up
hsa-mir-370	RWR-NF1	up
hsa-mir-218-1	RWR-NF1	up
hsa-mir-493	RWR-NF1	up
hsa-mir-134	RWR-NF1	up
hsa-mir-449b	RWR-NF1	up
hsa-mir-29b-2	RWR-NF1	up
hsa-mir-34b	RWR-NF1	up
hsa-mir-432	RWR-NF1	up
hsa-mir-410	RWR-NF1	up
hsa-mir-100	RWR-NF1	up
hsa-mir-153-2	RWR-NF1	up
hsa-mir-411	RWR-NF1	up
hsa-mir-153-1	RWR-NF1	up
hsa-mir-135a-1	RWR-NF1	up
hsa-mir-22	RWR-NF1	up
hsa-mir-664b	RWR-NF1	up
hsa-mir-1-2	RWR-NF1	up
hsa-mir-193a	RWR-NF1	up
hsa-mir-3926-1	RWR-NF1	up
hsa-mir-433	RWR-NF1	up
hsa-mir-4790	RWR-NF1	up
hsa-mir-191	RWR-NF1	up
hsa-mir-642a	RWR-NF1	up
hsa-mir-199b	RWR-NF1	up
hsa-mir-214	RWR-NF1	up
hsa-mir-1245a	RWR-NF1	up
hsa-mir-152	RWR-NF1	up
hsa-mir-618	RWR-NF1	up
hsa-mir-539	RWR-NF1	up
hsa-mir-30c-2	RWR-NF1	up
hsa-mir-3190	RWR-NF1	up
hsa-mir-21	RWR-NF1	up
hsa-mir-4756	RWR-NF1	up
hsa-mir-3913-1	RWR-NF1	up
hsa-mir-499a	RWR-NF1	up
hsa-mir-5684	RWR-NF1	up
hsa-mir-655	RWR-NF1	up
hsa-mir-103a-1	RWR-NF1	up
hsa-mir-103a-2	RWR-NF1	up
hsa-mir-1266	RWR-NF1	up
hsa-mir-4675	RWR-NF1	up
hsa-mir-1247	RWR-NF1	up
hsa-mir-935	RWR-NF1	up
hsa-mir-193b	RWR-NF1	up
hsa-mir-483	RWR-NF1	up
hsa-mir-99a	RWR-NF1	up
hsa-mir-381	RWR-NF1	up
hsa-mir-377	RWR-NF1	up
hsa-mir-18a	RWR-NF2	up
hsa-mir-934	RWR-NF2	up
hsa-mir-577	RWR-NF2	up
hsa-mir-505	RWR-NF2	up
hsa-mir-135b	RWR-NF2	up
hsa-mir-17	RWR-NF2	up
hsa-mir-224	RWR-NF2	up
hsa-mir-877	RWR-NF2	up
hsa-mir-452	RWR-NF2	up
hsa-mir-130b	RWR-NF2	up
