level	CS1	CS2	CS3	p	test	sig
n		      469	      160	       15			NA
Subtype (%)	CS1	      197 (42.0) 	        6 ( 3.8) 	       11 ( 73.3) 	<0.001	exact	**
	CS2	      270 (57.6) 	       24 (15.0) 	        2 ( 13.3) 			NA
	CS3	        2 ( 0.4) 	      130 (81.2) 	        2 ( 13.3) 			NA
vital_status (%)		        7 ( 4.9) 	        1 ( 2.6) 	        3 ( 27.3) 	 0.110	exact	
	Alive	      126 (88.7) 	       36 (92.3) 	        8 ( 72.7) 			NA
	Dead	        9 ( 6.3) 	        2 ( 5.1) 	        0 (  0.0) 			NA
days_to_birth 		-21525.62 ± 4829.37	-20916.44 ± 4483.84	-23206.07 ± 4934.19	 0.144		
days_to_death 		  1613.84 ± 968.32	  1235.81 ± 1068.60	  3959.00 ± NA	    NA		NA
days_to_last_followup 		  1235.97 ± 1155.20	  1243.03 ± 1304.70	   977.54 ± 446.16	 0.170		
race_list (%)		       11 ( 2.3) 	        2 ( 1.2) 	        0 (  0.0) 	<0.001	exact	**
	AMERICAN INDIAN OR ALASKA NATIVE	        0 ( 0.0) 	        1 ( 0.6) 	        0 (  0.0) 			NA
	ASIAN	       23 ( 4.9) 	        9 ( 5.6) 	        0 (  0.0) 			NA
	BLACK OR AFRICAN AMERICAN	       76 (16.2) 	       53 (33.1) 	        1 (  6.7) 			NA
	WHITE	      359 (76.5) 	       95 (59.4) 	       14 ( 93.3) 			NA
history_of_neoadjuvant_treatment (%)		        1 ( 0.2) 	        1 ( 0.6) 	        0 (  0.0) 	 0.699	exact	
	No	      463 (98.7) 	      158 (98.8) 	       15 (100.0) 			NA
	Yes	        5 ( 1.1) 	        1 ( 0.6) 	        0 (  0.0) 			NA
age_at_initial_pathologic_diagnosis 		    58.25 ± 13.31	    56.70 ± 12.25	    63.00 ± 13.49	 0.154		
ethnicity (%)		       51 (10.9) 	       13 ( 8.1) 	        0 (  0.0) 	 0.643	exact	
	HISPANIC OR LATINO	       21 ( 4.5) 	        7 ( 4.4) 	        0 (  0.0) 			NA
	NOT HISPANIC OR LATINO	      397 (84.6) 	      140 (87.5) 	       15 (100.0) 			NA
primary_lymph_node_presentation_assessment (%)		       99 (21.1) 	       32 (20.0) 	        0 (  0.0) 	 0.137	exact	
	NO	       16 ( 3.4) 	        9 ( 5.6) 	        1 (  6.7) 			NA
	YES	      354 (75.5) 	      119 (74.4) 	       14 ( 93.3) 			NA
histological_type (%)		        0 ( 0.0) 	        1 ( 0.6) 	        0 (  0.0) 	    NA	exact	NA
	Infiltrating Carcinoma NOS	        0 ( 0.0) 	        1 ( 0.6) 	        0 (  0.0) 			NA
	Infiltrating Ductal Carcinoma	      303 (64.6) 	      133 (83.1) 	       11 ( 73.3) 			NA
	Infiltrating Lobular Carcinoma	      121 (25.8) 	        4 ( 2.5) 	        0 (  0.0) 			NA
	Medullary Carcinoma	        0 ( 0.0) 	        4 ( 2.5) 	        1 (  6.7) 			NA
	Metaplastic Carcinoma	        0 ( 0.0) 	        7 ( 4.4) 	        0 (  0.0) 			NA
	Mixed Histology (please specify)	       17 ( 3.6) 	        1 ( 0.6) 	        3 ( 20.0) 			NA
	Mucinous Carcinoma	       10 ( 2.1) 	        0 ( 0.0) 	        0 (  0.0) 			NA
	Other, specify	       18 ( 3.8) 	        9 ( 5.6) 	        0 (  0.0) 			NA
menopause_status (%)		       41 ( 8.7) 	       12 ( 7.5) 	        0 (  0.0) 	 0.282	exact	
	Indeterminate (neither Pre or Postmenopausal)	        8 ( 1.7) 	        6 ( 3.8) 	        0 (  0.0) 			NA
	Peri (6-12 months since last menstrual period)	       14 ( 3.0) 	        7 ( 4.4) 	        0 (  0.0) 			NA
	Post (prior bilateral ovariectomy OR >12 mo since LMP with no prior hysterectomy)	      294 (62.7) 	      109 (68.1) 	       13 ( 86.7) 			NA
	Pre (<6 months since LMP AND no prior bilateral ovariectomy AND not on estrogen replacement)	      112 (23.9) 	       26 (16.2) 	        2 ( 13.3) 			NA
breast_carcinoma_progesterone_receptor_status (%)		       22 ( 4.7) 	       11 ( 6.9) 	        6 ( 40.0) 	<0.001	exact	**
	Indeterminate	        1 ( 0.2) 	        1 ( 0.6) 	        0 (  0.0) 			NA
