probe	class	dirct
PELI1	CS1	down
TMEM17	CS1	down
EHBP1	CS1	down
VPS54	CS1	down
OTX1	CS1	down
PUS10	CS1	down
PAPOLG	CS1	down
B3GNT2	CS1	down
LGALSL	CS1	down
PEX13	CS1	down
MDH1	CS1	down
REL	CS1	down
BCL11A	CS1	down
SLC1A4	CS1	down
CCT4	CS1	down
FAM161A	CS1	down
AFTPH	CS1	down
COMMD1	CS1	down
XPO1	CS1	down
UGP2	CS1	down
CEP68	CS1	down
KIAA1841	CS1	down
USP34	CS1	down
RAB1A	CS1	down
SERTAD2	CS1	down
C2orf74	CS1	down
AHSA2	CS1	down
FANCL	CS1	down
ANTXR1	CS1	down
SOCS5	CS1	down
ETAA1	CS1	down
ACTR2	CS1	down
MCFD2	CS1	down
SPRED2	CS1	down
RHOQ	CS1	down
GKN1	CS1	down
PROKR1	CS1	down
ENSG00000273269	CS1	down
PIGF	CS1	down
AUP1	CS1	down
CCDC142	CS1	down
DQX1	CS1	down
LBX2	CS1	down
PCGF1	CS1	down
TLX2	CS1	down
TTC31	CS1	down
PNO1	CS1	down
MEIS1	CS1	down
CALM2	CS1	down
CCDC85A	CS1	down
BMP10	CS1	down
EPCAM	CS1	down
HTRA2	CS1	down
GFPT1	CS1	down
CNRIP1	CS1	down
MRPL53	CS1	down
CRIPT	CS1	down
KCNK12	CS1	down
MSH2	CS1	down
PPP3R1	CS1	down
NFU1	CS1	down
CLHC1	CS1	down
DOK1	CS1	down
LOXL3	CS1	down
RPS27A	CS1	down
PLEK	CS1	down
M1AP	CS1	down
CYP26B1	CS1	down
CFAP36	CS1	down
FIGLA	CS1	down
FBXO48	CS1	down
SMEK2	CS1	down
WDR92	CS1	down
ENSG00000273398	CS1	down
SEMA4F	CS1	down
SPTBN1	CS1	down
CD207	CS1	down
CLEC4F	CS1	down
DUSP11	CS1	down
MXD1	CS1	down
C2orf78	CS1	down
PSME4	CS1	down
CHAC2	CS1	down
FBXO11	CS1	down
TPRKB	CS1	down
ASPRV1	CS1	down
SNRNP27	CS1	down
SPR	CS1	down
TET3	CS1	down
ERLEC1	CS1	down
ZNF638	CS1	down
EXOC6B	CS1	down
DYSF	CS1	down
ENSG00000274049	CS1	down
INO80B	CS1	down
MOGS	CS1	down
RTKN	CS1	down
WBP1	CS1	down
WDR54	CS1	down
DGUOK	CS1	down
PCSK1	CS2	down
TMEM161B	CS2	down
FAM172A	CS2	down
NR2F1	CS2	down
CHD1	CS2	down
RGMB	CS2	down
POU5F2	CS2	down
ELL2	CS2	down
KIAA0825	CS2	down
CCNH	CS2	down
COX7C	CS2	down
RIOK2	CS2	down
LYSMD3	CS2	down
RASA1	CS2	down
LIX1	CS2	down
POLR3G	CS2	down
LNPEP	CS2	down
MBLAC2	CS2	down
CETN3	CS2	down
TTC37	CS2	down
ANKRD32	CS2	down
EDIL3	CS2	down
SLC30A5	CS2	down
FAM81B	CS2	down
MEF2C	CS2	down
ERAP2	CS2	down
GLRX	CS2	down
MTX3	CS2	down
THBS4	CS2	down
SPZ1	CS2	down
SLC25A46	CS2	down
HOMER1	CS2	down
JMY	CS2	down
MCTP1	CS2	down
ARRDC3	CS2	down
CCNB1	CS2	down
ARSK	CS2	down
CKMT2	CS2	down
GPR98	CS2	down
CENPH	CS2	down
MRPS36	CS2	down
ZFYVE16	CS2	down
RHOBTB3	CS2	down
RPS23	CS2	down
EFNA5	CS2	down
CDK7	CS2	down
CCDC125	CS2	down
TAF9	CS2	down
ATP6AP1L	CS2	down
ZCCHC9	CS2	down
CMYA5	CS2	down
TSLP	CS2	down
PJA2	CS2	down
ST8SIA4	CS2	down
OTP	CS2	down
MSH3	CS2	down
SERINC5	CS2	down
DMGDH	CS2	down
TMEM167A	CS2	down
