probe	class	dirct
TMEM161B	CS1	up
SPZ1	CS1	up
MTX3	CS1	up
FAM172A	CS1	up
THBS4	CS1	up
NR2F1	CS1	up
HOMER1	CS1	up
ZFYVE16	CS1	up
EDIL3	CS1	up
JMY	CS1	up
KIAA0825	CS1	up
POU5F2	CS1	up
COX7C	CS1	up
LYSMD3	CS1	up
CCNH	CS1	up
CMYA5	CS1	up
OTP	CS1	up
POLR3G	CS1	up
SCAMP1	CS1	up
RASA1	CS1	up
S100Z	CS1	up
MBLAC2	CS1	up
DMGDH	CS1	up
TMEM167A	CS1	up
CKMT2	CS1	up
RPS23	CS1	up
CRHBP	CS1	up
PCSK1	CS1	up
ATP6AP1L	CS1	up
CETN3	CS1	up
SERINC5	CS1	up
ZCCHC9	CS1	up
FAM151B	CS1	up
ELL2	CS1	up
ANKRD32	CS1	up
PAPD4	CS1	up
ANKRD34B	CS1	up
AGGF1	CS1	up
MSH3	CS1	up
HAPLN1	CS1	up
MEF2C	CS1	up
AP3B1	CS1	up
BHMT	CS1	up
PDE8B	CS1	up
DHFR	CS1	up
BHMT2	CS1	up
ARRDC3	CS1	up
VCAN	CS1	up
ZBED3	CS1	up
GPR98	CS1	up
RIOK2	CS1	up
CHD1	CS1	up
TTC37	CS1	up
RASGRF2	CS1	up
F2R	CS1	up
GLRX	CS1	up
FAM81B	CS1	up
XRCC4	CS1	up
LNPEP	CS1	up
LIX1	CS1	up
F2RL1	CS1	up
HMGCR	CS1	up
TBCA	CS1	up
MCTP1	CS1	up
RGMB	CS1	up
SSBP2	CS1	up
ARSK	CS1	up
RHOBTB3	CS1	up
SLC30A5	CS1	up
ERAP2	CS1	up
TMEM174	CS1	up
SLC25A46	CS1	up
WDR41	CS1	up
POC5	CS1	up
POLK	CS1	up
GCNT4	CS1	up
CCNB1	CS1	up
COL4A3BP	CS1	up
FAM169A	CS1	up
CENPH	CS1	up
MRPS36	CS1	up
ANKDD1B	CS1	up
TSLP	CS1	up
CCDC125	CS1	up
TAF9	CS1	up
CDK7	CS1	up
NSA2	CS1	up
ANKRD31	CS1	up
GPR150	CS1	up
MCCC2	CS1	up
PTCD2	CS1	up
UTP15	CS1	up
LHFPL2	CS1	up
GFM2	CS1	up
RFESD	CS1	up
SPATA9	CS1	up
MAP1B	CS1	up
RAD17	CS1	up
MRPS27	CS1	up
BTF3	CS1	up
TUBAL3	CS2	up
UCN3	CS2	up
CALML5	CS2	up
NET1	CS2	up
GDI2	CS2	up
CALML3	CS2	up
FBXO18	CS2	up
AKR1C4	CS2	up
IL15RA	CS2	up
FAM208B	CS2	up
RBM17	CS2	up
GATA3	CS2	up
IL2RA	CS2	up
TAF3	CS2	up
PRKCQ	CS2	up
PFKFB3	CS2	up
SFMBT2	CS2	up
ANKRD16	CS2	up
ITIH5	CS2	up
ATP5C1	CS2	up
KIN	CS2	up
ITIH2	CS2	up
ASB13	CS2	up
ECHDC3	CS2	up
SEC61A2	CS2	up
USP6NL	CS2	up
NUDT5	CS2	up
CDNF	CS2	up
DHTKD1	CS2	up
SUV39H2	CS2	up
UPF2	CS2	up
AADACL2	CS2	up
OLAH	CS2	up
ACBD7	CS2	up
AKR1C3	CS2	up
IGSF10	CS2	up
DCLRE1C	CS2	up
MED12L	CS2	up
CDC123	CS2	up
ENSG00000240045	CS2	up
MME	CS2	up
HSPA14	CS2	up
SUCNR1	CS2	up
TIPARP	CS2	up
TM4SF1	CS2	up
P2RY12	CS2	up
COMMD2	CS2	up
P2RY14	CS2	up
WWTR1	CS2	up
P2RY1	CS2	up
PLCH1	CS2	up
RNF13	CS2	up
KCNAB1	CS2	up
GPR87	CS2	up
GMPS	CS2	up
ANKUB1	CS2	up
PFN2	CS2	up
GPR171	CS2	up
TSC22D2	CS2	up
MBNL1	CS2	up
SLC33A1	CS2	up
ITGA8	CS2	up
RP11-166N6.1	CS2	up
PRPF18	CS2	up
OPTN	CS2	up
C3orf33	CS2	up
TM4SF18	CS2	up
RAP2B	CS2	up
TM4SF4	CS2	up
AKR1E2	CS2	up
MCM10	CS2	up
UCMA	CS2	up
SEPHS1	CS2	up
PHYH	CS2	up
LARP4B	CS2	up
BEND7	CS2	up
PROSER2	CS2	up
DHX36	CS2	up
P2RY13	CS2	up
PRR26	CS2	up
LEKR1	CS2	up
SERP1	CS2	up
VEPH1	CS2	up
