probe	class	dirct
NCAM1	CS1	down
C11orf87	CS1	down
C11orf1	CS1	down
FDXACB1	CS1	down
ALG9	CS1	down
ENSG00000258529	CS1	down
RDX	CS1	down
ZC3H12C	CS1	down
FDX1	CS1	down
SIK2	CS1	down
CRYAB	CS1	down
DDX10	CS1	down
DIXDC1	CS1	down
ANKK1	CS1	down
TTC12	CS1	down
ZW10	CS1	down
CLDN25	CS1	down
TMPRSS5	CS1	down
HSPB2	CS1	down
C11orf52	CS1	down
HSPB2-C11orf52	CS1	down
PPP2R1B	CS1	down
EXPH5	CS1	down
DLAT	CS1	down
PIH1D2	CS1	down
HTR3A	CS1	down
DRD2	CS1	down
C11orf57	CS1	down
HTR3B	CS1	down
USP28	CS1	down
NNMT	CS1	down
TIMM8B	CS1	down
C11orf71	CS1	down
SDHD	CS1	down
RNF214	CS1	down
ENSG00000255663	CS1	down
RBM7	CS1	down
REXO2	CS1	down
PCSK7	CS1	down
PAFAH1B2	CS1	down
SIDT2	CS1	down
TAGLN	CS1	down
C11orf53	CS1	down
BACE1	CS1	down
POU2AF1	CS1	down
BTG4	CS1	down
NXPE4	CS1	down
COLCA2	CS1	down
LAYN	CS1	down
AP002884.2	CS1	down
CUL5	CS1	down
ARHGAP20	CS1	down
APOA5	CS1	down
ZPR1	CS1	down
C11orf88	CS1	down
APOA4	CS1	down
ATM	CS1	down
ACAT1	CS1	down
APOA1	CS1	down
SIK3	CS1	down
KDELC2	CS1	down
C11orf65	CS1	down
CEP164	CS1	down
THY1	CS1	down
C11orf63	CS1	down
CRTAM	CS1	down
ARID1A	CS1	down
HMGN2	CS1	down
DHDDS	CS1	down
NXPE2	CS1	down
IL18	CS1	down
TEX12	CS1	down
BCO2	CS1	down
USP2	CS1	down
PLET1	CS1	down
SORL1	CS1	down
CADM1	CS1	down
E2F2	CS1	down
MFRP	CS1	down
C1QTNF5	CS1	down
ZNF683	CS1	down
TCEA3	CS1	down
MCAM	CS1	down
RNF26	CS1	down
NXPE1	CS1	down
ID3	CS1	down
ZBTB16	CS1	down
ZNF436	CS1	down
NPAT	CS1	down
UBASH3B	CS1	down
HSPA8	CS1	down
BLID	CS1	down
BSX	CS1	down
RPL11	CS1	down
HNRNPR	CS1	down
TCEB3	CS1	down
ASAP3	CS1	down
RAB39A	CS1	down
ZDHHC18	CS1	down
LACTBL1	CS1	down
AZIN1	CS2	down
POU5F1B	CS2	down
BAALC	CS2	down
DCSTAMP	CS2	down
MYC	CS2	down
ATP6V1C1	CS2	down
DCAF13	CS2	down
DPYS	CS2	down
KLF10	CS2	down
SLC25A32	CS2	down
CTHRC1	CS2	down
UTP23	CS2	down
C8orf37	CS2	down
LRP12	CS2	down
MTSS1	CS2	down
EIF3H	CS2	down
TRHR	CS2	down
FAM91A1	CS2	down
ANXA13	CS2	down
ZNF572	CS2	down
TMEM74	CS2	down
NDUFB9	CS2	down
TRPS1	CS2	down
SQLE	CS2	down
FAM84B	CS2	down
KIAA0196	CS2	down
FZD6	CS2	down
NSMCE2	CS2	down
KLHL38	CS2	down
HAS2	CS2	down
ZHX1	CS2	down
COL14A1	CS2	down
RAD21	CS2	down
EIF3E	CS2	down
RIMS2	CS2	down
EMC2	CS2	down
TAF2	CS2	down
SNTB1	CS2	down
SLC30A8	CS2	down
TRMT12	CS2	down
RSPO2	CS2	down
ENPP2	CS2	down
TATDN1	CS2	down
ODF1	CS2	down
ZHX1-C8orf76	CS2	down
DSCC1	CS2	down
RNF139	CS2	down
ZHX2	CS2	down
TRIB1	CS2	down
ATAD2	CS2	down
AARD	CS2	down
WDYHV1	CS2	down
ENY2	CS2	down
NUDCD1	CS2	down
PLEKHF2	CS2	down
SDC2	CS2	down
PKHD1L1	CS2	down
UQCRB	CS2	down
FBXO32	CS2	down
KCNV1	CS2	down
DEPTOR	CS2	down
TSPYL5	CS2	down
MTDH	CS2	down
C8orf76	CS2	down
TMEM65	CS2	down
MRPL13	CS2	down
SYBU	CS2	down
LAPTM4B	CS2	down
ZFPM2	CS2	down
TP53INP1	CS2	down
GDF6	CS2	down
PTDSS1	CS2	down
EBAG9	CS2	down
POP1	CS2	down
ESRP1	CS2	down
FAM83A	CS2	down
MTBP	CS2	down
CCNE2	CS2	down
INTS8	CS2	down
FER1L6	CS2	down
NDUFAF6	CS2	down
MATN2	CS2	down
RRM2B	CS2	down
MTERF3	CS2	down
UBR5	CS2	down
DPY19L4	CS2	down
ANGPT1	CS2	down
ERICH5	CS2	down
HRSP12	CS2	down
ABRA	CS2	down
DERL1	CS2	down
OXR1	CS2	down
RPL30	CS2	down
CPQ	CS2	down
GSDMC	CS2	down
PDP1	CS2	down
TBC1D31	CS2	down
MED30	CS2	down
FAM49B	CS2	down
CDH17	CS2	down
TMEM161B	CS3	down
LYSMD3	CS3	down
COX7C	CS3	down
POLR3G	CS3	down
CCNH	CS3	down
FAM172A	CS3	down
MBLAC2	CS3	down
CETN3	CS3	down
RASA1	CS3	down
NR2F1	CS3	down
SLC25A46	CS3	down
RIOK2	CS3	down
CHD1	CS3	down
POU5F2	CS3	down
NREP	CS3	down
KIAA0825	CS3	down
EDIL3	CS3	down
GPR98	CS3	down
TSLP	CS3	down
MEF2C	CS3	down
LNPEP	CS3	down
LIX1	CS3	down
PCSK1	CS3	down
RGMB	CS3	down
ARRDC3	CS3	down
ELL2	CS3	down
ANKRD32	CS3	down
FAM81B	CS3	down
STARD4	CS3	down
EFNA5	CS3	down
SSBP2	CS3	down
TTC37	CS3	down
ERAP2	CS3	down
SRP19	CS3	down
GLRX	CS3	down
MCTP1	CS3	down
SPZ1	CS3	down
MTX3	CS3	down
TMEM167A	CS3	down
SLCO6A1	CS3	down
THBS4	CS3	down
CKMT2	CS3	down
HAPLN1	CS3	down
RPS23	CS3	down
WDR36	CS3	down
PJA2	CS3	down
ATP6AP1L	CS3	down
HOMER1	CS3	down
ZCCHC9	CS3	down
ZFYVE16	CS3	down
ARSK	CS3	down
RHOBTB3	CS3	down
JMY	CS3	down
ENSG00000272869	CS3	down
TMEM232	CS3	down
OTP	CS3	down
MSH3	CS3	down
SCAMP1	CS3	down
VCAN	CS3	down
S100Z	CS3	down
ST8SIA4	CS3	down
CMYA5	CS3	down
FBXL17	CS3	down
ENSG00000258864	CS3	down
SLC30A5	CS3	down
CRHBP	CS3	down
DMGDH	CS3	down
DHFR	CS3	down
NUDT12	CS3	down
RASGRF2	CS3	down
EPB41L4A	CS3	down
GCNT4	CS3	down
FER	CS3	down
AGGF1	CS3	down
CAMK4	CS3	down
XRCC4	CS3	down
SERINC5	CS3	down
FAM169A	CS3	down
AP3B1	CS3	down
GPR150	CS3	down
GIN1	CS3	down
PPIP5K2	CS3	down
BHMT	CS3	down
CCNB1	CS3	down
PDE8B	CS3	down
CENPH	CS3	down
MRPS36	CS3	down
C5orf30	CS3	down
RFESD	CS3	down
SPATA9	CS3	down
KCNN2	CS3	down
NSA2	CS3	down
FAM151B	CS3	down
PAPD4	CS3	down
BHMT2	CS3	down
BTF3	CS3	down
CCDC125	CS3	down
TAF9	CS3	down
CDK7	CS3	down
ANKRD34B	CS3	down
