probe	class	dirct
hsa-mir-190b	SNF1	up
hsa-mir-10b	SNF1	up
hsa-mir-29c	SNF1	up
hsa-mir-375	SNF1	up
hsa-mir-5694	SNF1	up
hsa-mir-10a	SNF1	up
hsa-mir-342	SNF1	up
hsa-let-7a-3	SNF1	up
hsa-let-7a-2	SNF1	up
hsa-let-7a-1	SNF1	up
hsa-mir-664a	SNF1	up
hsa-let-7b	SNF1	up
hsa-mir-5691	SNF1	up
hsa-mir-101-2	SNF1	up
hsa-mir-101-1	SNF1	up
hsa-mir-625	SNF1	up
hsa-mir-139	SNF1	up
hsa-mir-149	SNF1	up
hsa-mir-337	SNF1	up
hsa-mir-125a	SNF1	up
hsa-mir-30a	SNF1	up
hsa-mir-184	SNF1	up
hsa-mir-34c	SNF1	up
hsa-mir-195	SNF1	up
hsa-mir-758	SNF1	up
hsa-mir-365a	SNF1	up
hsa-mir-365b	SNF1	up
hsa-mir-26a-2	SNF1	up
hsa-mir-26a-1	SNF1	up
hsa-mir-653	SNF1	up
hsa-let-7e	SNF1	up
hsa-mir-127	SNF1	up
hsa-mir-487b	SNF1	up
hsa-mir-382	SNF1	up
hsa-mir-409	SNF1	up
hsa-mir-431	SNF1	up
hsa-mir-182	SNF1	up
hsa-mir-449a	SNF1	up
hsa-mir-379	SNF1	up
hsa-mir-370	SNF1	up
hsa-mir-3678	SNF1	up
hsa-mir-26b	SNF1	up
hsa-mir-493	SNF1	up
hsa-mir-199a-1	SNF1	up
hsa-mir-664b	SNF1	up
hsa-mir-654	SNF1	up
hsa-mir-135a-2	SNF1	up
hsa-mir-887	SNF1	up
hsa-mir-193a	SNF1	up
hsa-mir-432	SNF1	up
hsa-mir-410	SNF1	up
hsa-mir-218-2	SNF1	up
hsa-mir-134	SNF1	up
hsa-mir-1266	SNF1	up
hsa-mir-202	SNF1	up
hsa-mir-3926-2	SNF1	up
hsa-mir-199a-2	SNF1	up
hsa-mir-135a-1	SNF1	up
hsa-mir-193b	SNF1	up
hsa-mir-618	SNF1	up
hsa-mir-218-1	SNF1	up
hsa-mir-145	SNF1	up
hsa-mir-3913-1	SNF1	up
hsa-mir-191	SNF1	up
hsa-mir-411	SNF1	up
hsa-mir-4756	SNF1	up
hsa-mir-449b	SNF1	up
hsa-mir-103a-1	SNF1	up
hsa-mir-1-1	SNF1	up
hsa-mir-103a-2	SNF1	up
hsa-mir-655	SNF1	up
hsa-mir-21	SNF1	up
hsa-mir-3926-1	SNF1	up
hsa-mir-5684	SNF1	up
hsa-mir-22	SNF1	up
hsa-mir-3190	SNF1	up
hsa-mir-153-1	SNF1	up
hsa-mir-4446	SNF1	up
hsa-mir-214	SNF1	up
hsa-mir-29b-2	SNF1	up
hsa-mir-34b	SNF1	up
hsa-mir-199b	SNF1	up
hsa-mir-433	SNF1	up
hsa-mir-497	SNF1	up
hsa-mir-381	SNF1	up
hsa-mir-499a	SNF1	up
hsa-mir-100	SNF1	up
hsa-mir-152	SNF1	up
hsa-mir-4790	SNF1	up
hsa-mir-2114	SNF1	up
hsa-mir-1251	SNF1	up
hsa-mir-1-2	SNF1	up
hsa-mir-642a	SNF1	up
hsa-mir-4680	SNF1	up
hsa-mir-153-2	SNF1	up
hsa-mir-1245a	SNF1	up
hsa-mir-539	SNF1	up
hsa-mir-377	SNF1	up
hsa-mir-369	SNF1	up
hsa-mir-889	SNF1	up
hsa-mir-18a	SNF2	up
hsa-mir-577	SNF2	up
hsa-mir-934	SNF2	up
hsa-mir-135b	SNF2	up
hsa-mir-505	SNF2	up
hsa-mir-17	SNF2	up
hsa-mir-224	SNF2	up
hsa-mir-452	SNF2	up
hsa-mir-19a	SNF2	up
hsa-mir-519a-1	SNF2	up
hsa-mir-188	SNF2	up
hsa-mir-516a-1	SNF2	up
hsa-mir-130b	SNF2	up
hsa-mir-9-1	SNF2	up
hsa-mir-455	SNF2	up
hsa-mir-9-3	SNF2	up
hsa-mir-9-2	SNF2	up
hsa-mir-301b	SNF2	up
hsa-mir-20a	SNF2	up
hsa-mir-19b-1	SNF2	up
hsa-mir-522	SNF2	up
hsa-mir-519a-2	SNF2	up
hsa-mir-106b	SNF2	up
hsa-mir-6728	SNF2	up
hsa-mir-877	SNF2	up
hsa-mir-7112	SNF2	up
hsa-mir-516a-2	SNF2	up
hsa-mir-590	SNF2	up
hsa-mir-942	SNF2	up
hsa-mir-584	SNF2	up
hsa-mir-197	SNF2	up
hsa-mir-138-2	SNF2	up
hsa-mir-502	SNF2	up
hsa-mir-92a-1	SNF2	up
hsa-mir-92a-2	SNF2	up
hsa-mir-19b-2	SNF2	up
hsa-mir-186	SNF2	up
hsa-mir-500b	SNF2	up
hsa-mir-6499	SNF2	up
hsa-mir-105-1	SNF2	up
hsa-mir-378a	SNF2	up
hsa-mir-532	SNF2	up
hsa-mir-500a	SNF2	up
hsa-mir-105-2	SNF2	up
hsa-mir-548s	SNF2	up
hsa-mir-5002	SNF2	up
hsa-mir-767	SNF2	up
hsa-mir-24-2	SNF2	up
hsa-mir-138-1	SNF2	up
hsa-mir-548ao	SNF2	up
hsa-mir-24-1	SNF2	up
hsa-mir-579	SNF2	up
hsa-mir-576	SNF2	up
hsa-mir-222	SNF2	up
hsa-mir-501	SNF2	up
hsa-mir-3682	SNF2	up
hsa-mir-4780	SNF2	up
hsa-mir-548b	SNF2	up
hsa-mir-551a	SNF2	up
hsa-mir-4766	SNF2	up
hsa-mir-548f-1	SNF2	up
hsa-mir-1304	SNF2	up
hsa-mir-4787	SNF2	up
hsa-mir-4665	SNF2	up
hsa-mir-93	SNF2	up
hsa-mir-518e	SNF2	up
hsa-mir-3680-1	SNF2	up
hsa-mir-1301	SNF2	up
hsa-mir-155	SNF2	up
hsa-mir-362	SNF2	up
hsa-mir-210	SNF2	up
hsa-mir-548d-1	SNF2	up
hsa-mir-545	SNF2	up
hsa-mir-6783	SNF2	up
hsa-mir-3200	SNF2	up
hsa-mir-4677	SNF2	up
hsa-mir-1307	SNF2	up
hsa-mir-1306	SNF2	up
hsa-mir-6832	SNF2	up
hsa-mir-324	SNF2	up
hsa-mir-766	SNF2	up
hsa-mir-6720	SNF2	up
hsa-mir-1276	SNF2	up
hsa-mir-520b	SNF2	up
hsa-mir-3145	SNF2	up
hsa-mir-937	SNF2	up
hsa-mir-1283-1	SNF2	up
hsa-mir-660	SNF2	up
hsa-mir-146b	SNF2	up
hsa-mir-421	SNF2	up
hsa-mir-5699	SNF2	up
hsa-mir-548d-2	SNF2	up
hsa-mir-570	SNF2	up
hsa-mir-221	SNF2	up
hsa-mir-146a	SNF2	up
hsa-mir-4999	SNF2	up
hsa-mir-33a	SNF2	up
hsa-mir-5092	SNF2	up
hsa-mir-1915	SNF2	up
hsa-mir-301a	SNF2	up
