level	SNF1	SNF2	p	test	sig
n		   93	   60			NA
Subtype (%)	SNFSNF1	   93 (100.0) 	    0 (  0.0) 	<0.001		**
	SNFSNF2	    0 (  0.0) 	   60 (100.0) 			NA
LN.status.at.diagnosis (%)	Negative	   36 ( 38.7) 	   38 ( 63.3) 	 0.005		**
	Positive	   57 ( 61.3) 	   22 ( 36.7) 			NA
ER.status (%)	Negative	    5 (  5.4) 	   46 ( 76.7) 	<0.001		**
	Positive	   88 ( 94.6) 	   14 ( 23.3) 			NA
HER2.status (%)	Negative	   53 ( 57.0) 	   41 ( 68.3) 	 0.216		
	Positive	   40 ( 43.0) 	   19 ( 31.7) 			NA
Grade.pre.NAT (%)	Grade 2	   47 ( 50.5) 	   12 ( 20.0) 	<0.001	exact	**
	Grade 3	   46 ( 49.5) 	   48 ( 80.0) 			NA
pCR.RD (%)	pCR	   13 ( 14.0) 	   28 ( 46.7) 	<0.001		**
	Residual Disease	   80 ( 86.0) 	   32 ( 53.3) 			NA
Age 		50.19 ± 10.13	50.18 ± 11.94	 0.996		
T.stage (%)	T1	    8 (  8.6) 	    4 (  6.7) 	 0.581	exact	
	T2	   53 ( 57.0) 	   39 ( 65.0) 			NA
	T3	   28 ( 30.1) 	   13 ( 21.7) 			NA
	T4	    4 (  4.3) 	    4 (  6.7) 			NA
PAM50 (%)	Basal-like	    0 (  0.0) 	   38 ( 63.3) 	<0.001	exact	**
	HER2+	   18 ( 19.4) 	   17 ( 28.3) 			NA
	Luminal B	   48 ( 51.6) 	    0 (  0.0) 			NA
	Luminal A	   22 ( 23.7) 	    0 (  0.0) 			NA
	Normal-like	    4 (  4.3) 	    5 (  8.3) 			NA
	Unknown	    1 (  1.1) 	    0 (  0.0) 			NA
iC10 (%)	iC1	    9 (  9.7) 	    0 (  0.0) 	<0.001	exact	**
	iC2	   10 ( 10.8) 	    1 (  1.7) 			NA
	iC3	    5 (  5.4) 	    2 (  3.3) 			NA
	iC4	    3 (  3.2) 	   10 ( 16.7) 			NA
	iC5	   25 ( 26.9) 	   12 ( 20.0) 			NA
	iC6	   11 ( 11.8) 	    1 (  1.7) 			NA
	iC7	    8 (  8.6) 	    0 (  0.0) 			NA
	iC8	   12 ( 12.9) 	    0 (  0.0) 			NA
	iC9	   10 ( 10.8) 	    8 ( 13.3) 			NA
	iC10	    0 (  0.0) 	   26 ( 43.3) 			NA
NAT.regimen (%)	EC-T	    1 (  1.1) 	    1 (  1.7) 	 0.044	exact	**
	EC-T + Trastuzumab	    1 (  1.1) 	    0 (  0.0) 			NA
	EC + Trastuzumab	    1 (  1.1) 	    0 (  0.0) 			NA
	FEC-T	    3 (  3.2) 	    2 (  3.3) 			NA
	FEC-T + Trastuzumab	   30 ( 32.3) 	   16 ( 26.7) 			NA
	FEC-T + Trastuzumab + Pertuzumab	    3 (  3.2) 	    1 (  1.7) 			NA
	P-Carboplatin	    1 (  1.1) 	    0 (  0.0) 			NA
	P-EC	    0 (  0.0) 	    4 (  6.7) 			NA
	P-FEC	    1 (  1.1) 	    4 (  6.7) 			NA
	P + Trastuzumab	    1 (  1.1) 	    0 (  0.0) 			NA
	T	    0 (  0.0) 	    1 (  1.7) 			NA
	T-Carboplatin	    1 (  1.1) 	    1 (  1.7) 			NA
	T-EC	    8 (  8.6) 	    0 (  0.0) 			NA
	T-FEC	   35 ( 37.6) 	   26 ( 43.3) 			NA
	T-FEC + Trastuzumab	    1 (  1.1) 	    0 (  0.0) 			NA
	T-FEC + Trastuzumab + Pertuzumab	    2 (  2.2) 	    0 (  0.0) 			NA
	T + Pertuzumab + Trastuzumab	    0 (  0.0) 	    1 (  1.7) 			NA
	TC	    1 (  1.1) 	    2 (  3.3) 			NA
	TC + Trastuzumab	    3 (  3.2) 	    1 (  1.7) 			NA
Chemo.cycles 		 5.87 ± 0.59	 5.92 ± 0.83	 0.712		
aHER2.cycles 		 2.79 ± 1.05	 2.68 ± 0.58	 0.630		
RCB.score 		 2.13 ± 1.29	 1.04 ± 1.18	<0.001		**
STAT1.gsva 		-0.10 ± 0.48	 0.15 ± 0.50	 0.003		**
GGI.gsva 		-0.11 ± 0.46	 0.13 ± 0.46	 0.002		**
ESC.gsva 		-0.10 ± 0.34	 0.07 ± 0.35	 0.004		**
TMB 		 1.76 ± 1.65	 2.67 ± 1.76	 0.002		**
HRD.sum 		20.77 ± 11.14	35.00 ± 18.08	<0.001		**
