probe	class	dirct
hsa-mir-190b	Spectrum1	down
hsa-mir-10b	Spectrum1	down
hsa-mir-29c	Spectrum1	down
hsa-mir-375	Spectrum1	down
hsa-mir-10a	Spectrum1	down
hsa-mir-5694	Spectrum1	down
hsa-mir-342	Spectrum1	down
hsa-mir-664a	Spectrum1	down
hsa-mir-5691	Spectrum1	down
hsa-let-7a-3	Spectrum1	down
hsa-let-7a-1	Spectrum1	down
hsa-let-7a-2	Spectrum1	down
hsa-mir-149	Spectrum1	down
hsa-mir-125a	Spectrum1	down
hsa-mir-101-2	Spectrum1	down
hsa-mir-101-1	Spectrum1	down
hsa-mir-625	Spectrum1	down
hsa-let-7b	Spectrum1	down
hsa-mir-365a	Spectrum1	down
hsa-mir-365b	Spectrum1	down
hsa-mir-337	Spectrum1	down
hsa-mir-139	Spectrum1	down
hsa-mir-184	Spectrum1	down
hsa-mir-30a	Spectrum1	down
hsa-let-7e	Spectrum1	down
hsa-mir-758	Spectrum1	down
hsa-mir-409	Spectrum1	down
hsa-mir-449a	Spectrum1	down
hsa-mir-127	Spectrum1	down
hsa-mir-431	Spectrum1	down
hsa-mir-3678	Spectrum1	down
hsa-mir-34c	Spectrum1	down
hsa-mir-487b	Spectrum1	down
hsa-mir-887	Spectrum1	down
hsa-mir-195	Spectrum1	down
hsa-mir-382	Spectrum1	down
hsa-mir-182	Spectrum1	down
hsa-mir-379	Spectrum1	down
hsa-mir-26a-2	Spectrum1	down
hsa-mir-370	Spectrum1	down
hsa-mir-26a-1	Spectrum1	down
hsa-mir-493	Spectrum1	down
hsa-mir-26b	Spectrum1	down
hsa-mir-3926-2	Spectrum1	down
hsa-mir-653	Spectrum1	down
hsa-mir-193a	Spectrum1	down
hsa-mir-410	Spectrum1	down
hsa-mir-134	Spectrum1	down
hsa-mir-654	Spectrum1	down
hsa-mir-135a-2	Spectrum1	down
hsa-mir-199a-1	Spectrum1	down
hsa-mir-432	Spectrum1	down
hsa-mir-193b	Spectrum1	down
hsa-mir-1266	Spectrum1	down
hsa-mir-103a-1	Spectrum1	down
hsa-mir-3190	Spectrum1	down
hsa-mir-103a-2	Spectrum1	down
hsa-mir-21	Spectrum1	down
hsa-mir-202	Spectrum1	down
hsa-mir-449b	Spectrum1	down
hsa-mir-618	Spectrum1	down
hsa-mir-433	Spectrum1	down
hsa-mir-3913-1	Spectrum1	down
hsa-mir-191	Spectrum1	down
hsa-mir-199a-2	Spectrum1	down
hsa-mir-135a-1	Spectrum1	down
hsa-mir-664b	Spectrum1	down
hsa-mir-655	Spectrum1	down
hsa-mir-145	Spectrum1	down
hsa-mir-1245a	Spectrum1	down
hsa-mir-22	Spectrum1	down
hsa-mir-4680	Spectrum1	down
hsa-mir-1-1	Spectrum1	down
hsa-mir-499a	Spectrum1	down
hsa-mir-4501	Spectrum1	down
hsa-mir-1251	Spectrum1	down
hsa-mir-218-2	Spectrum1	down
hsa-mir-935	Spectrum1	down
hsa-mir-889	Spectrum1	down
hsa-mir-99b	Spectrum1	down
hsa-mir-5684	Spectrum1	down
hsa-mir-369	Spectrum1	down
hsa-mir-1-2	Spectrum1	down
hsa-mir-4446	Spectrum1	down
hsa-mir-4790	Spectrum1	down
hsa-mir-3926-1	Spectrum1	down
hsa-mir-539	Spectrum1	down
hsa-mir-29b-2	Spectrum1	down
hsa-mir-199b	Spectrum1	down
hsa-mir-218-1	Spectrum1	down
hsa-mir-381	Spectrum1	down
hsa-mir-411	Spectrum1	down
hsa-mir-153-1	Spectrum1	down
hsa-mir-4675	Spectrum1	down
hsa-mir-496	Spectrum1	down
hsa-mir-100	Spectrum1	down
hsa-mir-214	Spectrum1	down
hsa-mir-34b	Spectrum1	down
hsa-mir-3178	Spectrum1	down
hsa-mir-629	Spectrum1	down
hsa-mir-934	Spectrum2	down
hsa-mir-18a	Spectrum2	down
hsa-mir-577	Spectrum2	down
hsa-mir-135b	Spectrum2	down
hsa-mir-505	Spectrum2	down
hsa-mir-17	Spectrum2	down
hsa-mir-224	Spectrum2	down
hsa-mir-452	Spectrum2	down
hsa-mir-455	Spectrum2	down
hsa-mir-519a-1	Spectrum2	down
hsa-mir-188	Spectrum2	down
hsa-mir-19a	Spectrum2	down
hsa-mir-9-1	Spectrum2	down
hsa-mir-9-3	Spectrum2	down
hsa-mir-9-2	Spectrum2	down
hsa-mir-138-2	Spectrum2	down
hsa-mir-130b	Spectrum2	down
hsa-mir-942	Spectrum2	down
hsa-mir-516a-1	Spectrum2	down
hsa-mir-19b-1	Spectrum2	down
hsa-mir-590	Spectrum2	down
hsa-mir-519a-2	Spectrum2	down
hsa-mir-522	Spectrum2	down
hsa-mir-20a	Spectrum2	down
hsa-mir-301b	Spectrum2	down
hsa-mir-516a-2	Spectrum2	down
hsa-mir-6728	Spectrum2	down
hsa-mir-877	Spectrum2	down
hsa-mir-7112	Spectrum2	down
hsa-mir-106b	Spectrum2	down
hsa-mir-378a	Spectrum2	down
hsa-mir-197	Spectrum2	down
hsa-mir-19b-2	Spectrum2	down
hsa-mir-502	Spectrum2	down
hsa-mir-92a-1	Spectrum2	down
hsa-mir-92a-2	Spectrum2	down
hsa-mir-6499	Spectrum2	down
hsa-mir-500b	Spectrum2	down
hsa-mir-548ao	Spectrum2	down
hsa-mir-548s	Spectrum2	down
hsa-mir-584	Spectrum2	down
hsa-mir-186	Spectrum2	down
hsa-mir-24-2	Spectrum2	down
hsa-mir-105-1	Spectrum2	down
hsa-mir-24-1	Spectrum2	down
hsa-mir-138-1	Spectrum2	down
hsa-mir-767	Spectrum2	down
hsa-mir-532	Spectrum2	down
hsa-mir-105-2	Spectrum2	down
hsa-mir-579	Spectrum2	down
hsa-mir-222	Spectrum2	down
hsa-mir-5002	Spectrum2	down
hsa-mir-500a	Spectrum2	down
hsa-mir-1304	Spectrum2	down
hsa-mir-501	Spectrum2	down
hsa-mir-4780	Spectrum2	down
hsa-mir-576	Spectrum2	down
hsa-mir-4766	Spectrum2	down
hsa-mir-3682	Spectrum2	down
hsa-mir-155	Spectrum2	down
hsa-mir-4787	Spectrum2	down
hsa-mir-4665	Spectrum2	down
hsa-mir-518e	Spectrum2	down
hsa-mir-548b	Spectrum2	down
hsa-mir-362	Spectrum2	down
hsa-mir-3680-1	Spectrum2	down
hsa-mir-551a	Spectrum2	down
hsa-mir-548d-1	Spectrum2	down
hsa-mir-146a	Spectrum2	down
hsa-mir-1306	Spectrum2	down
hsa-mir-545	Spectrum2	down
hsa-mir-1301	Spectrum2	down
hsa-mir-4999	Spectrum2	down
hsa-mir-93	Spectrum2	down
hsa-mir-210	Spectrum2	down
hsa-mir-324	Spectrum2	down
hsa-mir-33a	Spectrum2	down
hsa-mir-548f-1	Spectrum2	down
hsa-mir-766	Spectrum2	down
hsa-mir-4677	Spectrum2	down
hsa-mir-1276	Spectrum2	down
hsa-mir-3200	Spectrum2	down
hsa-mir-6720	Spectrum2	down
hsa-mir-520b	Spectrum2	down
hsa-mir-378c	Spectrum2	down
hsa-mir-6783	Spectrum2	down
hsa-mir-3934	Spectrum2	down
hsa-let-7d	Spectrum2	down
hsa-mir-5699	Spectrum2	down
hsa-mir-660	Spectrum2	down
hsa-mir-221	Spectrum2	down
hsa-mir-548d-2	Spectrum2	down
hsa-mir-6832	Spectrum2	down
hsa-mir-1915	Spectrum2	down
hsa-mir-146b	Spectrum2	down
hsa-mir-1307	Spectrum2	down
hsa-mir-1283-1	Spectrum2	down
hsa-mir-7702	Spectrum2	down
hsa-mir-6814	Spectrum2	down
hsa-mir-3136	Spectrum2	down
