probe	class	dirct
hsa-mir-934	Spectrum1	up
hsa-mir-18a	Spectrum1	up
hsa-mir-577	Spectrum1	up
hsa-mir-135b	Spectrum1	up
hsa-mir-505	Spectrum1	up
hsa-mir-17	Spectrum1	up
hsa-mir-224	Spectrum1	up
hsa-mir-452	Spectrum1	up
hsa-mir-455	Spectrum1	up
hsa-mir-519a-1	Spectrum1	up
hsa-mir-188	Spectrum1	up
hsa-mir-19a	Spectrum1	up
hsa-mir-9-1	Spectrum1	up
hsa-mir-9-3	Spectrum1	up
hsa-mir-9-2	Spectrum1	up
hsa-mir-138-2	Spectrum1	up
hsa-mir-130b	Spectrum1	up
hsa-mir-942	Spectrum1	up
hsa-mir-516a-1	Spectrum1	up
hsa-mir-19b-1	Spectrum1	up
hsa-mir-590	Spectrum1	up
hsa-mir-519a-2	Spectrum1	up
hsa-mir-522	Spectrum1	up
hsa-mir-20a	Spectrum1	up
hsa-mir-301b	Spectrum1	up
hsa-mir-516a-2	Spectrum1	up
hsa-mir-6728	Spectrum1	up
hsa-mir-877	Spectrum1	up
hsa-mir-7112	Spectrum1	up
hsa-mir-106b	Spectrum1	up
hsa-mir-378a	Spectrum1	up
hsa-mir-197	Spectrum1	up
hsa-mir-19b-2	Spectrum1	up
hsa-mir-502	Spectrum1	up
hsa-mir-92a-1	Spectrum1	up
hsa-mir-92a-2	Spectrum1	up
hsa-mir-6499	Spectrum1	up
hsa-mir-500b	Spectrum1	up
hsa-mir-548ao	Spectrum1	up
hsa-mir-548s	Spectrum1	up
hsa-mir-584	Spectrum1	up
hsa-mir-186	Spectrum1	up
hsa-mir-24-2	Spectrum1	up
hsa-mir-105-1	Spectrum1	up
hsa-mir-24-1	Spectrum1	up
hsa-mir-138-1	Spectrum1	up
hsa-mir-767	Spectrum1	up
hsa-mir-532	Spectrum1	up
hsa-mir-105-2	Spectrum1	up
hsa-mir-579	Spectrum1	up
hsa-mir-222	Spectrum1	up
hsa-mir-5002	Spectrum1	up
hsa-mir-500a	Spectrum1	up
hsa-mir-1304	Spectrum1	up
hsa-mir-501	Spectrum1	up
hsa-mir-4780	Spectrum1	up
hsa-mir-576	Spectrum1	up
