probe	class	dirct
hsa-mir-934	ab-SNF1	down
hsa-mir-18a	ab-SNF1	down
hsa-mir-577	ab-SNF1	down
hsa-mir-135b	ab-SNF1	down
hsa-mir-17	ab-SNF1	down
hsa-mir-505	ab-SNF1	down
hsa-mir-224	ab-SNF1	down
hsa-mir-452	ab-SNF1	down
hsa-mir-519a-1	ab-SNF1	down
hsa-mir-19a	ab-SNF1	down
hsa-mir-516a-1	ab-SNF1	down
hsa-mir-20a	ab-SNF1	down
hsa-mir-9-1	ab-SNF1	down
hsa-mir-9-3	ab-SNF1	down
hsa-mir-9-2	ab-SNF1	down
hsa-mir-522	ab-SNF1	down
hsa-mir-455	ab-SNF1	down
hsa-mir-19b-1	ab-SNF1	down
hsa-mir-519a-2	ab-SNF1	down
hsa-mir-516a-2	ab-SNF1	down
hsa-mir-584	ab-SNF1	down
hsa-mir-138-2	ab-SNF1	down
hsa-mir-188	ab-SNF1	down
hsa-mir-7112	ab-SNF1	down
hsa-mir-92a-1	ab-SNF1	down
hsa-mir-106b	ab-SNF1	down
hsa-mir-6728	ab-SNF1	down
hsa-mir-92a-2	ab-SNF1	down
hsa-mir-877	ab-SNF1	down
hsa-mir-130b	ab-SNF1	down
hsa-mir-6499	ab-SNF1	down
hsa-mir-500b	ab-SNF1	down
hsa-mir-19b-2	ab-SNF1	down
hsa-mir-301b	ab-SNF1	down
hsa-mir-590	ab-SNF1	down
hsa-mir-502	ab-SNF1	down
hsa-mir-197	ab-SNF1	down
hsa-mir-532	ab-SNF1	down
hsa-mir-500a	ab-SNF1	down
hsa-mir-942	ab-SNF1	down
hsa-mir-378a	ab-SNF1	down
hsa-mir-186	ab-SNF1	down
hsa-mir-105-1	ab-SNF1	down
hsa-mir-548s	ab-SNF1	down
hsa-mir-105-2	ab-SNF1	down
hsa-mir-548ao	ab-SNF1	down
hsa-mir-767	ab-SNF1	down
hsa-mir-138-1	ab-SNF1	down
hsa-mir-501	ab-SNF1	down
hsa-mir-24-2	ab-SNF1	down
hsa-mir-24-1	ab-SNF1	down
hsa-mir-222	ab-SNF1	down
hsa-mir-576	ab-SNF1	down
hsa-mir-5002	ab-SNF1	down
hsa-mir-4780	ab-SNF1	down
hsa-mir-3682	ab-SNF1	down
hsa-mir-4665	ab-SNF1	down
hsa-mir-548f-1	ab-SNF1	down
hsa-mir-93	ab-SNF1	down
hsa-mir-579	ab-SNF1	down
hsa-mir-1304	ab-SNF1	down
hsa-mir-362	ab-SNF1	down
hsa-mir-4766	ab-SNF1	down
hsa-mir-4787	ab-SNF1	down
hsa-mir-518e	ab-SNF1	down
hsa-mir-6720	ab-SNF1	down
hsa-mir-3680-1	ab-SNF1	down
hsa-mir-6783	ab-SNF1	down
hsa-mir-548d-1	ab-SNF1	down
hsa-mir-210	ab-SNF1	down
hsa-mir-660	ab-SNF1	down
hsa-mir-155	ab-SNF1	down
hsa-mir-548b	ab-SNF1	down
hsa-mir-1301	ab-SNF1	down
hsa-mir-4677	ab-SNF1	down
hsa-mir-551a	ab-SNF1	down
hsa-mir-1283-1	ab-SNF1	down
hsa-mir-1307	ab-SNF1	down
hsa-mir-6832	ab-SNF1	down
hsa-mir-937	ab-SNF1	down
hsa-mir-146b	ab-SNF1	down
hsa-mir-324	ab-SNF1	down
hsa-mir-520b	ab-SNF1	down
hsa-mir-570	ab-SNF1	down
hsa-mir-548d-2	ab-SNF1	down
hsa-mir-221	ab-SNF1	down
hsa-mir-3200	ab-SNF1	down
hsa-mir-1283-2	ab-SNF1	down
hsa-mir-5699	ab-SNF1	down
hsa-mir-4999	ab-SNF1	down
hsa-mir-527	ab-SNF1	down
hsa-mir-1276	ab-SNF1	down
hsa-mir-766	ab-SNF1	down
hsa-mir-588	ab-SNF1	down
hsa-mir-1306	ab-SNF1	down
hsa-mir-3145	ab-SNF1	down
hsa-mir-378c	ab-SNF1	down
hsa-mir-1915	ab-SNF1	down
hsa-mir-5092	ab-SNF1	down
hsa-mir-4658	ab-SNF1	down
hsa-mir-190b	ab-SNF2	down
hsa-mir-375	ab-SNF2	down
hsa-mir-29c	ab-SNF2	down
hsa-mir-10b	ab-SNF2	down
hsa-mir-5694	ab-SNF2	down
hsa-mir-10a	ab-SNF2	down
