probe	class	dirct
hsa-mir-190b	ab-SNF1	up
hsa-mir-375	ab-SNF1	up
hsa-mir-29c	ab-SNF1	up
hsa-mir-10b	ab-SNF1	up
hsa-mir-5694	ab-SNF1	up
hsa-mir-10a	ab-SNF1	up
hsa-mir-342	ab-SNF1	up
hsa-let-7a-3	ab-SNF1	up
hsa-let-7a-1	ab-SNF1	up
hsa-let-7a-2	ab-SNF1	up
hsa-mir-664a	ab-SNF1	up
hsa-mir-101-2	ab-SNF1	up
hsa-mir-101-1	ab-SNF1	up
hsa-mir-149	ab-SNF1	up
hsa-let-7b	ab-SNF1	up
hsa-mir-5691	ab-SNF1	up
hsa-mir-625	ab-SNF1	up
hsa-mir-125a	ab-SNF1	up
hsa-mir-337	ab-SNF1	up
hsa-mir-139	ab-SNF1	up
hsa-mir-26a-2	ab-SNF1	up
hsa-mir-758	ab-SNF1	up
hsa-mir-26a-1	ab-SNF1	up
hsa-mir-127	ab-SNF1	up
hsa-mir-184	ab-SNF1	up
hsa-mir-195	ab-SNF1	up
hsa-mir-30a	ab-SNF1	up
hsa-mir-409	ab-SNF1	up
hsa-mir-34c	ab-SNF1	up
hsa-mir-365a	ab-SNF1	up
hsa-mir-365b	ab-SNF1	up
hsa-mir-382	ab-SNF1	up
hsa-mir-487b	ab-SNF1	up
hsa-mir-431	ab-SNF1	up
hsa-mir-653	ab-SNF1	up
hsa-mir-379	ab-SNF1	up
hsa-mir-26b	ab-SNF1	up
hsa-mir-3678	ab-SNF1	up
hsa-mir-887	ab-SNF1	up
hsa-mir-449a	ab-SNF1	up
hsa-let-7e	ab-SNF1	up
hsa-mir-654	ab-SNF1	up
hsa-mir-370	ab-SNF1	up
hsa-mir-4446	ab-SNF1	up
hsa-mir-493	ab-SNF1	up
hsa-mir-182	ab-SNF1	up
hsa-mir-199a-1	ab-SNF1	up
hsa-mir-134	ab-SNF1	up
hsa-mir-664b	ab-SNF1	up
hsa-mir-432	ab-SNF1	up
hsa-mir-135a-2	ab-SNF1	up
hsa-mir-1266	ab-SNF1	up
hsa-mir-410	ab-SNF1	up
hsa-mir-191	ab-SNF1	up
hsa-mir-199a-2	ab-SNF1	up
hsa-mir-193a	ab-SNF1	up
hsa-mir-193b	ab-SNF1	up
hsa-mir-3926-2	ab-SNF1	up
hsa-mir-218-2	ab-SNF1	up
hsa-mir-411	ab-SNF1	up
hsa-mir-3913-1	ab-SNF1	up
hsa-mir-2114	ab-SNF1	up
hsa-mir-202	ab-SNF1	up
hsa-mir-433	ab-SNF1	up
hsa-mir-3926-1	ab-SNF1	up
hsa-mir-655	ab-SNF1	up
hsa-mir-135a-1	ab-SNF1	up
hsa-mir-618	ab-SNF1	up
hsa-mir-449b	ab-SNF1	up
hsa-mir-218-1	ab-SNF1	up
hsa-mir-199b	ab-SNF1	up
hsa-mir-145	ab-SNF1	up
hsa-mir-4756	ab-SNF1	up
hsa-mir-3190	ab-SNF1	up
hsa-mir-1251	ab-SNF1	up
hsa-mir-369	ab-SNF1	up
hsa-mir-5684	ab-SNF1	up
hsa-mir-153-1	ab-SNF1	up
hsa-mir-539	ab-SNF1	up
hsa-mir-642a	ab-SNF1	up
hsa-mir-4790	ab-SNF1	up
hsa-mir-4501	ab-SNF1	up
hsa-mir-1247	ab-SNF1	up
hsa-mir-499a	ab-SNF1	up
hsa-mir-377	ab-SNF1	up
hsa-mir-214	ab-SNF1	up
hsa-mir-496	ab-SNF1	up
hsa-mir-153-2	ab-SNF1	up
hsa-mir-34b	ab-SNF1	up
hsa-mir-497	ab-SNF1	up
hsa-mir-152	ab-SNF1	up
hsa-mir-381	ab-SNF1	up
hsa-mir-4680	ab-SNF1	up
hsa-mir-3156-1	ab-SNF1	up
hsa-mir-154	ab-SNF1	up
hsa-mir-29b-2	ab-SNF1	up
hsa-mir-889	ab-SNF1	up
hsa-mir-103a-1	ab-SNF1	up
hsa-mir-483	ab-SNF1	up
hsa-mir-103a-2	ab-SNF1	up
hsa-mir-934	ab-SNF2	up
hsa-mir-18a	ab-SNF2	up
hsa-mir-577	ab-SNF2	up
hsa-mir-135b	ab-SNF2	up
hsa-mir-17	ab-SNF2	up
hsa-mir-505	ab-SNF2	up
hsa-mir-224	ab-SNF2	up
hsa-mir-452	ab-SNF2	up
hsa-mir-519a-1	ab-SNF2	up
hsa-mir-19a	ab-SNF2	up
hsa-mir-516a-1	ab-SNF2	up
hsa-mir-20a	ab-SNF2	up
hsa-mir-9-1	ab-SNF2	up
hsa-mir-9-3	ab-SNF2	up
hsa-mir-9-2	ab-SNF2	up
hsa-mir-522	ab-SNF2	up
hsa-mir-455	ab-SNF2	up
hsa-mir-19b-1	ab-SNF2	up
hsa-mir-519a-2	ab-SNF2	up
hsa-mir-516a-2	ab-SNF2	up
hsa-mir-584	ab-SNF2	up
hsa-mir-138-2	ab-SNF2	up
hsa-mir-188	ab-SNF2	up
hsa-mir-7112	ab-SNF2	up
hsa-mir-92a-1	ab-SNF2	up
hsa-mir-106b	ab-SNF2	up
hsa-mir-6728	ab-SNF2	up
hsa-mir-92a-2	ab-SNF2	up
hsa-mir-877	ab-SNF2	up
hsa-mir-130b	ab-SNF2	up
hsa-mir-6499	ab-SNF2	up
hsa-mir-500b	ab-SNF2	up
hsa-mir-19b-2	ab-SNF2	up
hsa-mir-301b	ab-SNF2	up
hsa-mir-590	ab-SNF2	up
hsa-mir-502	ab-SNF2	up
hsa-mir-197	ab-SNF2	up
hsa-mir-532	ab-SNF2	up
hsa-mir-500a	ab-SNF2	up
hsa-mir-942	ab-SNF2	up
hsa-mir-378a	ab-SNF2	up
hsa-mir-186	ab-SNF2	up
hsa-mir-105-1	ab-SNF2	up
hsa-mir-548s	ab-SNF2	up
hsa-mir-105-2	ab-SNF2	up
hsa-mir-548ao	ab-SNF2	up
hsa-mir-767	ab-SNF2	up
hsa-mir-138-1	ab-SNF2	up
hsa-mir-501	ab-SNF2	up
hsa-mir-24-2	ab-SNF2	up
hsa-mir-24-1	ab-SNF2	up
hsa-mir-222	ab-SNF2	up
hsa-mir-576	ab-SNF2	up
hsa-mir-5002	ab-SNF2	up
hsa-mir-4780	ab-SNF2	up
hsa-mir-3682	ab-SNF2	up
hsa-mir-4665	ab-SNF2	up
hsa-mir-548f-1	ab-SNF2	up
hsa-mir-93	ab-SNF2	up
hsa-mir-579	ab-SNF2	up
hsa-mir-1304	ab-SNF2	up
hsa-mir-362	ab-SNF2	up
hsa-mir-4766	ab-SNF2	up
hsa-mir-4787	ab-SNF2	up
hsa-mir-518e	ab-SNF2	up
hsa-mir-6720	ab-SNF2	up
hsa-mir-3680-1	ab-SNF2	up
hsa-mir-6783	ab-SNF2	up
hsa-mir-548d-1	ab-SNF2	up
hsa-mir-210	ab-SNF2	up
hsa-mir-660	ab-SNF2	up
hsa-mir-155	ab-SNF2	up
hsa-mir-548b	ab-SNF2	up
hsa-mir-1301	ab-SNF2	up
hsa-mir-4677	ab-SNF2	up
hsa-mir-551a	ab-SNF2	up
hsa-mir-1283-1	ab-SNF2	up
hsa-mir-1307	ab-SNF2	up
hsa-mir-6832	ab-SNF2	up
hsa-mir-937	ab-SNF2	up
