probe	class	dirct
hsa-mir-425	iClusterBayes1	down
hsa-mir-4668	iClusterBayes1	down
hsa-mir-3607	iClusterBayes1	down
hsa-mir-183	iClusterBayes1	down
hsa-mir-423	iClusterBayes1	down
hsa-mir-4714	iClusterBayes1	down
hsa-mir-4724	iClusterBayes1	down
hsa-mir-96	iClusterBayes1	down
hsa-mir-548aw	iClusterBayes1	down
hsa-mir-30d	iClusterBayes1	down
hsa-mir-331	iClusterBayes1	down
hsa-mir-30c-1	iClusterBayes1	down
hsa-mir-33b	iClusterBayes1	down
hsa-mir-484	iClusterBayes1	down
hsa-mir-3127	iClusterBayes1	down
hsa-mir-22	iClusterBayes1	down
hsa-mir-200a	iClusterBayes1	down
hsa-mir-145	iClusterBayes1	down
hsa-mir-874	iClusterBayes1	down
hsa-mir-34a	iClusterBayes1	down
hsa-mir-200b	iClusterBayes1	down
hsa-mir-18a	iClusterBayes2	down
hsa-mir-505	iClusterBayes2	down
hsa-mir-17	iClusterBayes2	down
hsa-mir-188	iClusterBayes2	down
hsa-mir-301b	iClusterBayes2	down
hsa-mir-105-1	iClusterBayes2	down
hsa-mir-9-3	iClusterBayes2	down
hsa-mir-9-1	iClusterBayes2	down
hsa-mir-9-2	iClusterBayes2	down
hsa-mir-877	iClusterBayes2	down
hsa-mir-590	iClusterBayes2	down
hsa-mir-106b	iClusterBayes2	down
hsa-mir-130b	iClusterBayes2	down
hsa-mir-197	iClusterBayes2	down
hsa-mir-224	iClusterBayes2	down
hsa-mir-942	iClusterBayes2	down
hsa-mir-105-2	iClusterBayes2	down
hsa-mir-502	iClusterBayes2	down
hsa-mir-532	iClusterBayes2	down
hsa-mir-3200	iClusterBayes2	down
hsa-mir-767	iClusterBayes2	down
hsa-mir-4664	iClusterBayes2	down
hsa-mir-6728	iClusterBayes2	down
hsa-mir-500b	iClusterBayes2	down
hsa-mir-452	iClusterBayes2	down
hsa-mir-92a-1	iClusterBayes2	down
hsa-mir-92a-2	iClusterBayes2	down
hsa-mir-33a	iClusterBayes2	down
hsa-mir-20a	iClusterBayes2	down
hsa-mir-7112	iClusterBayes2	down
hsa-mir-522	iClusterBayes2	down
hsa-mir-519a-2	iClusterBayes2	down
hsa-mir-1307	iClusterBayes2	down
hsa-mir-19a	iClusterBayes2	down
hsa-mir-210	iClusterBayes2	down
hsa-mir-24-1	iClusterBayes2	down
hsa-mir-362	iClusterBayes2	down
hsa-mir-24-2	iClusterBayes2	down
hsa-mir-455	iClusterBayes2	down
hsa-mir-516a-2	iClusterBayes2	down
hsa-mir-500a	iClusterBayes2	down
hsa-mir-138-2	iClusterBayes2	down
hsa-mir-516a-1	iClusterBayes2	down
hsa-mir-570	iClusterBayes2	down
hsa-mir-579	iClusterBayes2	down
hsa-mir-4766	iClusterBayes2	down
hsa-mir-766	iClusterBayes2	down
hsa-mir-501	iClusterBayes2	down
hsa-mir-324	iClusterBayes2	down
hsa-mir-4787	iClusterBayes2	down
hsa-mir-3680-1	iClusterBayes2	down
hsa-mir-940	iClusterBayes2	down
hsa-mir-1301	iClusterBayes2	down
hsa-mir-3682	iClusterBayes2	down
hsa-mir-1306	iClusterBayes2	down
hsa-mir-4661	iClusterBayes2	down
hsa-mir-6783	iClusterBayes2	down
hsa-mir-421	iClusterBayes2	down
hsa-mir-19b-1	iClusterBayes2	down
hsa-mir-6832	iClusterBayes2	down
hsa-mir-7974	iClusterBayes2	down
hsa-mir-301a	iClusterBayes2	down
hsa-mir-5002	iClusterBayes2	down
hsa-mir-671	iClusterBayes2	down
hsa-mir-19b-2	iClusterBayes2	down
hsa-mir-1276	iClusterBayes2	down
hsa-mir-155	iClusterBayes2	down
hsa-mir-18b	iClusterBayes2	down
hsa-mir-548f-1	iClusterBayes2	down
hsa-mir-548d-1	iClusterBayes2	down
hsa-mir-3677	iClusterBayes2	down
hsa-mir-4677	iClusterBayes2	down
hsa-mir-93	iClusterBayes2	down
hsa-mir-1304	iClusterBayes2	down
hsa-mir-545	iClusterBayes2	down
hsa-mir-5092	iClusterBayes2	down
hsa-mir-129-1	iClusterBayes2	down
hsa-mir-5699	iClusterBayes2	down
hsa-mir-378a	iClusterBayes2	down
hsa-mir-548b	iClusterBayes2	down
hsa-mir-660	iClusterBayes2	down
hsa-mir-580	iClusterBayes2	down
hsa-mir-222	iClusterBayes2	down
hsa-mir-937	iClusterBayes2	down
hsa-mir-636	iClusterBayes2	down
hsa-mir-548ao	iClusterBayes2	down
hsa-mir-1915	iClusterBayes2	down
hsa-mir-3137	iClusterBayes2	down
hsa-mir-5571	iClusterBayes2	down
