probe	class	dirct
hsa-mir-511	iClusterBayes1	up
hsa-mir-378d-2	iClusterBayes1	up
hsa-mir-4772	iClusterBayes1	up
hsa-mir-517b	iClusterBayes1	up
hsa-mir-517a	iClusterBayes1	up
hsa-mir-5586	iClusterBayes1	up
hsa-mir-6509	iClusterBayes1	up
hsa-mir-5090	iClusterBayes1	up
hsa-mir-3911	iClusterBayes1	up
hsa-mir-4491	iClusterBayes1	up
hsa-mir-4482	iClusterBayes1	up
hsa-mir-140	iClusterBayes1	up
hsa-mir-150	iClusterBayes1	up
hsa-mir-5588	iClusterBayes1	up
hsa-mir-598	iClusterBayes1	up
hsa-mir-525	iClusterBayes1	up
hsa-mir-4804	iClusterBayes1	up
hsa-mir-340	iClusterBayes1	up
hsa-mir-378f	iClusterBayes1	up
hsa-mir-6132	iClusterBayes1	up
hsa-mir-378d-1	iClusterBayes1	up
hsa-mir-517c	iClusterBayes1	up
hsa-mir-6718	iClusterBayes1	up
hsa-mir-7976	iClusterBayes1	up
hsa-mir-3942	iClusterBayes1	up
hsa-mir-383	iClusterBayes1	up
hsa-mir-128-2	iClusterBayes1	up
hsa-mir-561	iClusterBayes1	up
hsa-mir-548ar	iClusterBayes1	up
hsa-mir-520c	iClusterBayes1	up
hsa-mir-6507	iClusterBayes1	up
hsa-mir-128-1	iClusterBayes1	up
hsa-mir-4794	iClusterBayes1	up
hsa-mir-3164	iClusterBayes1	up
hsa-mir-519c	iClusterBayes1	up
hsa-mir-6753	iClusterBayes1	up
hsa-mir-523	iClusterBayes1	up
hsa-mir-519e	iClusterBayes1	up
hsa-mir-4504	iClusterBayes1	up
hsa-mir-2113	iClusterBayes1	up
hsa-mir-6835	iClusterBayes1	up
hsa-mir-4761	iClusterBayes1	up
hsa-mir-4539	iClusterBayes1	up
hsa-mir-6876	iClusterBayes1	up
hsa-mir-4322	iClusterBayes1	up
hsa-mir-510	iClusterBayes1	up
hsa-mir-325	iClusterBayes1	up
hsa-mir-4417	iClusterBayes1	up
hsa-mir-3135b	iClusterBayes1	up
hsa-mir-3180-5	iClusterBayes1	up
hsa-mir-548a-1	iClusterBayes1	up
hsa-mir-103b-1	iClusterBayes1	up
hsa-mir-548aj-1	iClusterBayes1	up
hsa-mir-4531	iClusterBayes1	up
hsa-mir-6130	iClusterBayes1	up
hsa-mir-4295	iClusterBayes1	up
hsa-mir-563	iClusterBayes1	up
hsa-mir-30a	iClusterBayes2	up
hsa-mir-5694	iClusterBayes2	up
hsa-let-7b	iClusterBayes2	up
