probe	class	dirct
hsa-mir-92a-2	wMKL1	down
hsa-mir-92a-1	wMKL1	down
hsa-mir-20a	wMKL1	down
hsa-mir-362	wMKL1	down
hsa-mir-454	wMKL1	down
hsa-mir-3191	wMKL1	down
hsa-mir-6516	wMKL1	down
hsa-mir-6798	wMKL1	down
hsa-mir-484	wMKL1	down
hsa-mir-1254-2	wMKL1	down
hsa-mir-19b-1	wMKL1	down
hsa-mir-570	wMKL1	down
hsa-mir-19b-2	wMKL1	down
hsa-mir-4746	wMKL1	down
hsa-mir-7706	wMKL1	down
hsa-mir-1224	wMKL1	down
hsa-mir-5092	wMKL1	down
hsa-mir-93	wMKL1	down
hsa-mir-339	wMKL1	down
hsa-mir-548au	wMKL1	down
hsa-mir-512-1	wMKL1	down
hsa-mir-4724	wMKL1	down
hsa-mir-6511b-2	wMKL1	down
hsa-mir-767	wMKL1	down
hsa-mir-105-2	wMKL1	down
hsa-mir-6773	wMKL1	down
hsa-mir-216a	wMKL2	down
hsa-mir-203a	wMKL3	down
hsa-mir-183	wMKL3	down
hsa-mir-141	wMKL3	down
hsa-mir-455	wMKL4	down
hsa-mir-1271	wMKL4	down
hsa-mir-224	wMKL4	down
hsa-mir-4677	wMKL4	down
hsa-mir-616	wMKL4	down
hsa-mir-4658	wMKL4	down
hsa-let-7d	wMKL4	down
hsa-mir-1537	wMKL4	down
hsa-mir-7-2	wMKL4	down
hsa-mir-4685	wMKL4	down
hsa-mir-8072	wMKL4	down
hsa-mir-320b-2	wMKL4	down
hsa-mir-6891	wMKL4	down
hsa-mir-3928	wMKL4	down
hsa-mir-7854	wMKL4	down
hsa-mir-1910	wMKL4	down
hsa-mir-1292	wMKL4	down
hsa-mir-222	wMKL4	down
hsa-mir-323b	wMKL4	down
hsa-mir-1277	wMKL4	down
hsa-mir-585	wMKL4	down
hsa-mir-33b	wMKL4	down
hsa-mir-4742	wMKL4	down
hsa-mir-3682	wMKL4	down
hsa-mir-3620	wMKL4	down
hsa-mir-4674	wMKL4	down
hsa-mir-3680-1	wMKL4	down
hsa-mir-885	wMKL4	down
hsa-mir-3137	wMKL4	down
hsa-mir-1915	wMKL4	down
hsa-mir-1908	wMKL4	down
hsa-mir-190b	wMKL5	down
hsa-mir-29c	wMKL5	down
hsa-mir-375	wMKL5	down
hsa-mir-5694	wMKL5	down
hsa-mir-10b	wMKL5	down
hsa-mir-625	wMKL5	down
hsa-mir-342	wMKL5	down
hsa-mir-5691	wMKL5	down
hsa-mir-26a-1	wMKL5	down
hsa-mir-26a-2	wMKL5	down
hsa-mir-184	wMKL5	down
hsa-mir-664a	wMKL5	down
hsa-mir-4446	wMKL5	down
hsa-mir-449a	wMKL5	down
hsa-mir-26b	wMKL5	down
hsa-mir-3678	wMKL5	down
hsa-mir-365a	wMKL5	down
hsa-mir-379	wMKL5	down
hsa-mir-365b	wMKL5	down
hsa-mir-758	wMKL5	down
hsa-mir-127	wMKL5	down
hsa-mir-191	wMKL5	down
hsa-mir-1266	wMKL5	down
hsa-mir-337	wMKL5	down
hsa-mir-654	wMKL5	down
hsa-mir-182	wMKL5	down
hsa-mir-487b	wMKL5	down
hsa-mir-1247	wMKL5	down
hsa-mir-653	wMKL5	down
hsa-mir-134	wMKL5	down
hsa-mir-664b	wMKL5	down
hsa-mir-382	wMKL5	down
hsa-mir-409	wMKL5	down
hsa-mir-135a-2	wMKL5	down
hsa-mir-335	wMKL5	down
hsa-mir-410	wMKL5	down
hsa-mir-618	wMKL5	down
hsa-mir-431	wMKL5	down
hsa-mir-449b	wMKL5	down
hsa-mir-887	wMKL5	down
hsa-mir-125a	wMKL5	down
hsa-mir-493	wMKL5	down
hsa-mir-370	wMKL5	down
hsa-mir-4501	wMKL5	down
hsa-mir-202	wMKL5	down
hsa-mir-3190	wMKL5	down
hsa-mir-2115	wMKL5	down
hsa-mir-4790	wMKL5	down
hsa-mir-3926-2	wMKL5	down
hsa-mir-433	wMKL5	down
hsa-mir-5684	wMKL5	down
hsa-mir-193a	wMKL5	down
hsa-mir-3913-1	wMKL5	down
hsa-mir-499a	wMKL5	down
hsa-mir-889	wMKL5	down
hsa-mir-135a-1	wMKL5	down
hsa-mir-381	wMKL5	down
hsa-mir-29b-2	wMKL5	down
hsa-mir-411	wMKL5	down
hsa-mir-369	wMKL5	down
hsa-let-7e	wMKL5	down
hsa-mir-2114	wMKL5	down
hsa-mir-3156-2	wMKL5	down
hsa-mir-153-2	wMKL5	down
hsa-mir-1251	wMKL5	down
hsa-mir-5091	wMKL5	down
hsa-mir-642a	wMKL5	down
hsa-mir-299	wMKL5	down
hsa-mir-4484	wMKL5	down
hsa-mir-4756	wMKL5	down
hsa-mir-412	wMKL5	down
hsa-mir-3156-1	wMKL5	down
hsa-mir-496	wMKL5	down
hsa-mir-21	wMKL5	down
hsa-mir-432	wMKL5	down
hsa-mir-655	wMKL5	down
hsa-mir-935	wMKL5	down
hsa-mir-103a-1	wMKL5	down
hsa-mir-103a-2	wMKL5	down
hsa-mir-6777	wMKL5	down
hsa-mir-4675	wMKL5	down
hsa-mir-449c	wMKL5	down
hsa-mir-194-1	wMKL5	down
hsa-mir-143	wMKL5	down
hsa-mir-153-1	wMKL5	down
hsa-mir-3926-1	wMKL5	down
hsa-mir-483	wMKL5	down
hsa-mir-1258	wMKL5	down
hsa-mir-3156-3	wMKL5	down
hsa-mir-34b	wMKL5	down
hsa-mir-199a-1	wMKL5	down
hsa-mir-6806	wMKL5	down
hsa-mir-495	wMKL5	down
hsa-mir-4442	wMKL5	down
hsa-mir-4680	wMKL5	down
hsa-mir-543	wMKL5	down
hsa-mir-3912	wMKL5	down
hsa-mir-6811	wMKL5	down
hsa-mir-1245a	wMKL5	down
hsa-mir-376a-1	wMKL5	down
hsa-let-7c	wMKL6	down
hsa-mir-6510	wMKL6	down
hsa-mir-204	wMKL6	down
hsa-mir-99a	wMKL6	down
hsa-mir-584	wMKL6	down
hsa-mir-205	wMKL6	down
hsa-mir-181d	wMKL6	down
hsa-mir-29a	wMKL6	down
hsa-mir-30c-2	wMKL6	down
hsa-mir-125b-2	wMKL6	down
hsa-mir-6499	wMKL6	down
hsa-mir-190a	wMKL6	down
hsa-mir-125b-1	wMKL6	down
hsa-mir-4780	wMKL6	down
hsa-mir-181c	wMKL6	down
hsa-mir-320c-1	wMKL6	down
hsa-mir-100	wMKL6	down
hsa-mir-223	wMKL6	down
hsa-mir-497	wMKL6	down
hsa-mir-140	wMKL6	down
hsa-mir-28	wMKL6	down
hsa-mir-130a	wMKL6	down
hsa-mir-30c-1	wMKL6	down
hsa-mir-217	wMKL6	down
hsa-mir-3622a	wMKL6	down
hsa-mir-30e	wMKL6	down
hsa-mir-6720	wMKL6	down
hsa-mir-944	wMKL6	down
hsa-mir-598	wMKL6	down
hsa-let-7i	wMKL6	down
hsa-mir-488	wMKL6	down
hsa-mir-452	wMKL6	down
hsa-mir-138-1	wMKL6	down
hsa-mir-5588	wMKL6	down
hsa-mir-1976	wMKL6	down
hsa-mir-31	wMKL6	down
hsa-mir-4491	wMKL6	down
hsa-mir-221	wMKL6	down
hsa-mir-6717	wMKL6	down
hsa-mir-548ao	wMKL6	down
hsa-mir-138-2	wMKL6	down
hsa-mir-516a-1	wMKL6	down
hsa-mir-873	wMKL6	down
hsa-mir-4431	wMKL6	down
hsa-mir-499b	wMKL6	down
hsa-mir-1283-1	wMKL6	down
hsa-mir-4661	wMKL8	down
hsa-mir-502	wMKL8	down
hsa-mir-769	wMKL8	down
hsa-mir-501	wMKL8	down
hsa-mir-550a-1	wMKL8	down
hsa-mir-500a	wMKL8	down
hsa-mir-24-1	wMKL8	down
hsa-mir-24-2	wMKL8	down
hsa-mir-4787	wMKL8	down
hsa-mir-1468	wMKL8	down
hsa-mir-550a-2	wMKL8	down
hsa-mir-1248	wMKL8	down
hsa-mir-3662	wMKL8	down
hsa-mir-6807	wMKL8	down
hsa-mir-4788	wMKL8	down
hsa-mir-378a	wMKL8	down
hsa-mir-4652	wMKL8	down
hsa-mir-1304	wMKL8	down
hsa-mir-151a	wMKL8	down
hsa-mir-3616	wMKL8	down
hsa-mir-6844	wMKL8	down
hsa-mir-6718	wMKL8	down
hsa-mir-2355	wMKL8	down
hsa-mir-522	wMKL8	down
hsa-mir-548d-1	wMKL8	down
hsa-mir-545	wMKL8	down
hsa-mir-580	wMKL8	down
hsa-mir-1296	wMKL8	down
hsa-mir-6832	wMKL8	down
hsa-mir-6854	wMKL8	down
hsa-mir-6783	wMKL8	down
hsa-mir-155	wMKL8	down
hsa-mir-573	wMKL8	down
hsa-mir-378c	wMKL8	down
hsa-mir-3911	wMKL8	down
hsa-mir-500b	wMKL8	down
hsa-mir-6814	wMKL8	down
hsa-mir-3654	wMKL8	down
hsa-mir-509-2	wMKL8	down
hsa-mir-5680	wMKL8	down
hsa-mir-509-3	wMKL8	down
hsa-mir-374b	wMKL8	down
hsa-mir-6895	wMKL8	down
hsa-mir-1260b	wMKL8	down
hsa-mir-548d-2	wMKL8	down
hsa-mir-98	wMKL8	down
hsa-mir-6797	wMKL8	down
hsa-mir-4758	wMKL8	down
hsa-mir-520f	wMKL8	down
hsa-mir-527	wMKL8	down
