probe	class	dirct
hsa-mir-184	wMKL1	up
hsa-let-7c	wMKL1	up
hsa-mir-10b	wMKL1	up
hsa-mir-10a	wMKL1	up
hsa-mir-195	wMKL1	up
hsa-mir-99a	wMKL1	up
hsa-mir-139	wMKL1	up
hsa-mir-1-1	wMKL1	up
hsa-mir-379	wMKL1	up
hsa-mir-154	wMKL1	up
hsa-let-7a-3	wMKL1	up
hsa-let-7a-2	wMKL1	up
hsa-let-7a-1	wMKL1	up
hsa-mir-382	wMKL1	up
hsa-mir-889	wMKL1	up
hsa-mir-496	wMKL1	up
hsa-mir-377	wMKL1	up
hsa-mir-758	wMKL1	up
hsa-mir-337	wMKL1	up
hsa-mir-101-2	wMKL1	up
hsa-mir-101-1	wMKL1	up
hsa-mir-543	wMKL1	up
hsa-mir-432	wMKL1	up
hsa-mir-204	wMKL1	up
hsa-mir-100	wMKL1	up
hsa-mir-199a-1	wMKL1	up
hsa-mir-410	wMKL1	up
hsa-mir-28	wMKL1	up
hsa-mir-1245a	wMKL1	up
hsa-mir-944	wMKL1	up
hsa-mir-134	wMKL1	up
hsa-mir-125b-2	wMKL1	up
hsa-mir-654	wMKL1	up
hsa-mir-218-2	wMKL1	up
hsa-mir-199a-2	wMKL1	up
hsa-mir-218-1	wMKL1	up
hsa-mir-409	wMKL1	up
hsa-mir-431	wMKL1	up
hsa-mir-202	wMKL1	up
hsa-mir-125b-1	wMKL1	up
hsa-mir-127	wMKL1	up
hsa-mir-381	wMKL1	up
hsa-mir-342	wMKL1	up
hsa-mir-542	wMKL1	up
hsa-mir-199b	wMKL1	up
hsa-mir-182	wMKL1	up
hsa-mir-541	wMKL1	up
hsa-mir-369	wMKL1	up
hsa-mir-30c-2	wMKL1	up
hsa-mir-487b	wMKL1	up
hsa-mir-495	wMKL1	up
hsa-mir-370	wMKL1	up
hsa-mir-205	wMKL1	up
hsa-mir-194-1	wMKL1	up
hsa-mir-26a-1	wMKL1	up
hsa-mir-30e	wMKL1	up
hsa-mir-1258	wMKL1	up
hsa-mir-26a-2	wMKL1	up
hsa-mir-483	wMKL1	up
hsa-mir-3656	wMKL1	up
hsa-mir-4692	wMKL1	up
hsa-mir-548ak	wMKL1	up
hsa-mir-7853	wMKL1	up
hsa-mir-8079	wMKL1	up
hsa-mir-6828	wMKL1	up
hsa-mir-1233-2	wMKL1	up
hsa-mir-1184-3	wMKL1	up
hsa-mir-4485	wMKL1	up
hsa-mir-3610	wMKL2	up
hsa-mir-4444-1	wMKL2	up
hsa-mir-3150a	wMKL2	up
hsa-mir-1229	wMKL2	up
hsa-mir-6781	wMKL2	up
hsa-mir-4638	wMKL2	up
hsa-mir-6718	wMKL2	up
hsa-mir-1251	wMKL2	up
hsa-mir-760	wMKL2	up
hsa-mir-4435-1	wMKL2	up
hsa-mir-3178	wMKL2	up
hsa-mir-6761	wMKL2	up
hsa-mir-4444-2	wMKL2	up
hsa-mir-4758	wMKL2	up
hsa-mir-4725	wMKL2	up
hsa-mir-3614	wMKL2	up
hsa-mir-513c	wMKL2	up
hsa-mir-3667	wMKL2	up
hsa-mir-4680	wMKL2	up
hsa-mir-1238	wMKL2	up
hsa-mir-1273h	wMKL2	up
hsa-mir-5190	wMKL2	up
hsa-mir-1207	wMKL2	up
hsa-mir-1282	wMKL2	up
hsa-mir-7704	wMKL2	up
hsa-mir-4728	wMKL3	up
hsa-mir-328	wMKL3	up
hsa-mir-1910	wMKL3	up
hsa-mir-191	wMKL3	up
hsa-mir-454	wMKL3	up
hsa-mir-935	wMKL3	up
hsa-mir-4446	wMKL3	up
hsa-mir-423	wMKL3	up
hsa-mir-339	wMKL3	up
hsa-mir-7-3	wMKL3	up
hsa-mir-887	wMKL3	up
hsa-mir-193a	wMKL3	up
hsa-mir-4326	wMKL3	up
hsa-mir-6764	wMKL3	up
hsa-mir-365b	wMKL3	up
hsa-mir-365a	wMKL3	up
hsa-mir-4756	wMKL3	up
hsa-mir-345	wMKL3	up
hsa-mir-504	wMKL3	up
hsa-mir-1914	wMKL3	up
hsa-mir-7705	wMKL3	up
hsa-mir-6777	wMKL3	up
hsa-mir-2276	wMKL3	up
hsa-mir-616	wMKL3	up
hsa-mir-125a	wMKL3	up
hsa-mir-326	wMKL3	up
hsa-mir-3678	wMKL3	up
hsa-mir-6802	wMKL3	up
hsa-mir-3137	wMKL3	up
hsa-mir-331	wMKL3	up
hsa-mir-3150b	wMKL3	up
hsa-mir-6880	wMKL3	up
hsa-mir-891a	wMKL3	up
hsa-mir-4793	wMKL3	up
hsa-mir-4733	wMKL3	up
hsa-mir-6773	wMKL3	up
hsa-mir-1908	wMKL3	up
hsa-mir-3156-2	wMKL3	up
hsa-mir-630	wMKL3	up
hsa-mir-610	wMKL3	up
hsa-mir-577	wMKL4	up
hsa-mir-18a	wMKL4	up
hsa-mir-934	wMKL4	up
hsa-mir-135b	wMKL4	up
hsa-mir-224	wMKL4	up
hsa-mir-452	wMKL4	up
hsa-mir-505	wMKL4	up
hsa-mir-105-1	wMKL4	up
hsa-mir-767	wMKL4	up
hsa-mir-105-2	wMKL4	up
hsa-mir-519a-1	wMKL4	up
hsa-mir-17	wMKL4	up
hsa-mir-500b	wMKL4	up
hsa-mir-502	wMKL4	up
hsa-mir-590	wMKL4	up
hsa-mir-532	wMKL4	up
hsa-mir-500a	wMKL4	up
hsa-mir-378a	wMKL4	up
hsa-mir-9-1	wMKL4	up
hsa-mir-9-3	wMKL4	up
hsa-mir-516a-1	wMKL4	up
hsa-mir-522	wMKL4	up
hsa-mir-9-2	wMKL4	up
hsa-mir-6728	wMKL4	up
hsa-mir-584	wMKL4	up
hsa-mir-106b	wMKL4	up
hsa-mir-519a-2	wMKL4	up
hsa-mir-19a	wMKL4	up
hsa-mir-548s	wMKL4	up
hsa-mir-301b	wMKL4	up
hsa-mir-5002	wMKL4	up
hsa-mir-6720	wMKL4	up
hsa-mir-130b	wMKL4	up
hsa-mir-138-2	wMKL4	up
hsa-mir-516a-2	wMKL4	up
hsa-mir-3680-1	wMKL4	up
hsa-mir-362	wMKL4	up
hsa-mir-1304	wMKL4	up
hsa-mir-579	wMKL4	up
hsa-mir-877	wMKL4	up
hsa-mir-501	wMKL4	up
hsa-mir-660	wMKL4	up
hsa-mir-7112	wMKL4	up
hsa-mir-197	wMKL4	up
hsa-mir-20a	wMKL4	up
hsa-mir-942	wMKL4	up
hsa-mir-6783	wMKL4	up
hsa-mir-455	wMKL4	up
hsa-mir-93	wMKL4	up
hsa-mir-24-2	wMKL4	up
hsa-mir-24-1	wMKL4	up
hsa-mir-5699	wMKL4	up
hsa-mir-4999	wMKL4	up
hsa-mir-6499	wMKL4	up
hsa-mir-1301	wMKL4	up
hsa-mir-570	wMKL4	up
hsa-mir-1283-1	wMKL4	up
hsa-mir-4766	wMKL4	up
hsa-mir-222	wMKL4	up
hsa-mir-155	wMKL4	up
hsa-mir-3136	wMKL4	up
hsa-mir-19b-1	wMKL4	up
hsa-mir-1276	wMKL4	up
hsa-mir-138-1	wMKL4	up
hsa-mir-671	wMKL4	up
hsa-mir-6744	wMKL4	up
hsa-mir-1307	wMKL4	up
hsa-mir-3682	wMKL4	up
hsa-mir-1283-2	wMKL4	up
hsa-mir-92a-1	wMKL4	up
hsa-mir-146b	wMKL4	up
hsa-mir-19b-2	wMKL4	up
hsa-mir-3934	wMKL4	up
hsa-mir-4665	wMKL4	up
hsa-mir-92a-2	wMKL4	up
hsa-mir-221	wMKL4	up
hsa-mir-548ao	wMKL4	up
hsa-mir-5092	wMKL4	up
hsa-mir-4787	wMKL4	up
hsa-mir-4449	wMKL4	up
hsa-mir-545	wMKL4	up
hsa-mir-146a	wMKL4	up
hsa-mir-3944	wMKL4	up
hsa-mir-3145	wMKL4	up
hsa-mir-576	wMKL4	up
hsa-mir-378c	wMKL4	up
hsa-mir-6832	wMKL4	up
hsa-mir-4661	wMKL4	up
hsa-mir-5571	wMKL4	up
hsa-mir-548f-1	wMKL4	up
hsa-mir-4658	wMKL4	up
hsa-mir-518e	wMKL4	up
hsa-mir-1306	wMKL4	up
hsa-mir-3691	wMKL4	up
hsa-mir-766	wMKL4	up
hsa-mir-5690	wMKL4	up
hsa-mir-3922	wMKL4	up
hsa-mir-186	wMKL4	up
hsa-mir-421	wMKL4	up
hsa-mir-1468	wMKL4	up
hsa-mir-618	wMKL5	up
hsa-mir-7849	wMKL5	up
hsa-mir-92b	wMKL6	up
hsa-mir-320d-2	wMKL6	up
hsa-mir-320a	wMKL6	up
hsa-mir-449a	wMKL6	up
hsa-mir-6842	wMKL6	up
hsa-mir-664a	wMKL6	up
hsa-mir-320d-1	wMKL6	up
hsa-mir-6843	wMKL6	up
hsa-mir-4649	wMKL6	up
hsa-mir-29c	wMKL6	up
hsa-mir-5685	wMKL6	up
hsa-mir-1193	wMKL6	up
hsa-mir-5197	wMKL6	up
hsa-mir-1273a	wMKL6	up
hsa-mir-569	wMKL6	up
hsa-mir-30d	wMKL7	up
hsa-mir-5691	wMKL7	up
hsa-mir-103a-1	wMKL7	up
hsa-mir-103a-2	wMKL7	up
hsa-mir-4675	wMKL7	up
hsa-mir-4668	wMKL7	up
hsa-mir-4790	wMKL7	up
hsa-mir-1260a	wMKL7	up
hsa-mir-4537	wMKL7	up
hsa-mir-598	wMKL8	up
