package,recommended_version,all_versions
ANF,1.26.0,1.26.0
AnnotationDbi,1.66.0,1.66.0
Biobase,2.64.0,2.64.0
BiocGenerics,0.50.0,0.50.0
BiocParallel,1.38.0,1.38.0
BiocSingular,1.20.0,1.20.0
Biostrings,2.72.0,2.72.0
CIMLR,1.0.0,1.0.0
CMScaller,2.0.1,2.0.1
Cairo,1.6-5,1.6-5
ClassDiscovery,3.4.5,3.4.5
ClusterR,1.3.3,1.3.3
ComplexHeatmap,2.18.0,2.18.0
ConsensusClusterPlus,1.68.0,1.68.0
DBI,1.2.3,1.2.3
DESeq2,1.44.0,1.44.0
DNAcopy,1.78.0,1.78.0
DOSE,3.30.2,3.30.2
DT,0.33,0.33
DelayedArray,0.30.1,0.30.1
DescTools,0.99.55,0.99.55
ExPosition,2.11.0,2.11.0
Exact,3.3,3.3
FNN,1.1.4,1.1.4
FactoMineR,2.11,2.11
Formula,1.2-5,1.2-5
GO.db,3.19.1,3.19.1
GOSemSim,2.30.0,2.30.0
GSEABase,1.66.0,1.66.0
GSVA,1.52.2,1.52.2
GenomeInfoDb,1.40.0,1.40.0
GenomeInfoDbData,1.2.12,1.2.12
GenomicRanges,1.56.0,1.56.0
GetoptLong,1.0.5,1.0.5
GlobalOptions,0.1.2,0.1.2
HDF5Array,1.32.0,1.32.0
HDO.db,0.99.1,0.99.1
HiClimR,2.2.1,2.2.1
IRanges,2.38.0,2.38.0
IntNMF,1.2.0,1.2.0
InterSIM,2.2.0,2.2.0
KEGGREST,1.44.1,1.44.1
KMsurv,0.1-5,0.1-5
KernSmooth,2.23-24,"2.23-22, 2.23-24"
M3C,1.26.0,1.26.0
MASS,7.3-61,"7.3-60.2, 7.3-61"
MOFA2,1.14.0,1.14.0
MOVICS,0.99.17,0.99.17
Matrix,1.7-1,"1.7-0, 1.7-1"
MatrixGenerics,1.16.0,1.16.0
NEMO,0.1.0,0.1.0
NLP,0.3-0,0.3-0
NMF,0.27,0.27
PINSPlus,2.0.7,2.0.7
R.methodsS3,1.8.2,1.8.2
R.oo,1.26.0,1.26.0
R.utils,2.12.3,2.12.3
R6,2.6.1,"2.5.1, 2.6.1"
RColorBrewer,1.1-3,1.1-3
RSQLite,2.3.6,2.3.6
RSpectra,0.16-2,0.16-2
Rcpp,1.1.0,"1.0.12, 1.0.14, 1.1.0"
RcppParallel,5.1.7,5.1.7
RcppZiggurat,0.1.6,0.1.6
Rdpack,2.6.4,2.6.4
Rfast,2.1.0,2.1.0
Rhdf5lib,1.26.0,1.26.0
Rtsne,0.17,0.17
S4Arrays,1.4.0,1.4.0
S4Vectors,0.42.0,0.42.0
SNFtool,2.3.1,"2.2, 2.3.1"
ScaledMatrix,1.12.0,1.12.0
SingleCellExperiment,1.26.0,1.26.0
SparseArray,1.4.3,1.4.3
SpatialExperiment,1.14.0,1.14.0
Spectrum,1.1,1.1
SummarizedExperiment,1.34.0,1.34.0
TH.data,1.1-2,1.1-2
UCSC.utils,1.0.0,1.0.0
XML,3.99-0.16.1,3.99-0.16.1
XVector,0.44.0,0.44.0
abSNF,1.0.0,1.0.0
abind,1.4-8,"1.4-5, 1.4-8"
alluvial,0.1-2,0.1-2
annotate,1.82.0,1.82.0
ape,5.8,5.8
aplot,0.2.3,0.2.3
aricode,1.0.3,1.0.3
askpass,1.2.0,1.2.0
backports,1.5.0,"1.4.1, 1.5.0"
basilisk,1.16.0,1.16.0
basilisk.utils,1.16.0,1.16.0
bdsmatrix,1.3-7,1.3-7
beachmat,2.20.0,2.20.0
bit,4.0.5,4.0.5
bit64,4.0.5,4.0.5
bitops,1.0-7,1.0-7
blob,1.2.4,1.2.4
boot,1.3-31,"1.3-30, 1.3-31"
broom,1.0.8,"1.0.6, 1.0.8"
bslib,0.8.0,0.8.0
caTools,1.18.2,1.18.2
cachem,1.1.0,1.1.0
car,3.1-3,"3.1-2, 3.1-3"
carData,3.0-5,3.0-5
cellranger,1.1.0,1.1.0
circlize,0.4.16,0.4.16
clValid,0.7,0.7
class,7.3-22,7.3-22
cli,3.6.3,"3.6.2, 3.6.3"
clinfun,1.1.5,1.1.5
clue,0.3-65,0.3-65
cluster,2.1.6,2.1.6
clusterProfiler,4.12.3,4.12.3
clusterRepro,0.9,0.9
coca,1.1.0,1.1.0
coda,0.19-4.1,0.19-4.1
codetools,0.2-20,0.2-20
coin,1.4-3,1.4-3
colorspace,2.1-1,"2.1-0, 2.1-1"
compiler,4.4.2,"4.4.0, 4.4.2"
corpcor,1.6.10,1.6.10
corrplot,0.95,0.95
cowplot,1.1.3,1.1.3
coxme,2.2-20,2.2-20
crayon,1.5.3,1.5.3
crosstalk,1.2.1,1.2.1
data.table,1.15.4,1.15.4
dbplyr,2.5.0,2.5.0
digest,0.6.35,0.6.35
diptest,0.77-1,0.77-1
dir.expiry,1.12.0,1.12.0
doParallel,1.0.17,1.0.17
doRNG,1.8.6,1.8.6
doSNOW,1.0.20,1.0.20
docxtractr,0.6.5,0.6.5
dplyr,1.1.4,1.1.4
e1071,1.7-14,1.7-14
