Gene Symbol,Name,Entrez GeneId,Genome Location,Tier,Tumour Types(Somatic),Tumour Types(Germline),Synonyms
AKT1,v-akt murine thymoma viral oncogene homolog 1,207,14:104769349-104794124,1,"breast, colorectal, ovarian, NSCLC",,"AKT,CCDS9994.1,ENSG00000142208.15,P31749,PKB,PRKBA,RAC"
APOBEC3B,apolipoprotein B mRNA editing enzyme catalytic subunit 3B,9582,22:38982409-38992784,1,,breast cancer,"CCDS13982.1,ENSG00000179750.15,FLJ21201,NM_004900.4,NP_004891,NP_004891.4,PHRBNL,Q9UH17"
ARID1A,AT rich interactive domain 1A (SWI-like),8289,1:26696033-26782110,1,"clear cell ovarian carcinoma, RCC, breast",,"B120,BAF250,BAF250a,C10rf4,C1orf4,CCDS285.1,ENSG00000117713.19,NM_006015.4,NP_006006,O14497,P270,SMARCF1"
ARID1B,AT rich interactive domain 1B,57492,6:156777374-157210779,1,"breast, hepatocellular carcinoma, clear cell ovarian carcinoma",,"6A3-5,BAF250b,CCDS55072.1,DAN15,ELD/OSA1,ENSG00000049618.22,KIAA1235,NM_020732.3,NP_065783,Q8NFD5,p250R"
BAP1,BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase),8314,3:52401013-52410350,1,"uveal melanoma, breast, NSCLC, RCC","mesothelioma, skin and uveal melanoma, kidney cancer","CCDS2853.1,ENSG00000163930.9,KIAA0272,NM_004656.3,NP_004647,Q92560,UCHL2,hucep-6"
BARD1,BRCA1 associated RING domain 1,580,2:214725646-214809704,1,breast cancer,"ovarian cancer, breast cancer, endometrioid cancer","CCDS2397.1,ENSG00000138376.10,NM_000465.3,NP_000456,Q99728"
BRCA1,familial breast/ovarian cancer gene 1,672,17:43044295-43125483,1,ovarian,"breast, ovarian","BRCC1,CCDS11456.2,ENSG00000012048.21,FANCS,NM_007300.3,NP_009231,P38398,PPP1R53,RNF53"
BRCA2,familial breast/ovarian cancer gene 2,675,13:32315474-32400266,1,"breast, ovarian, pancreatic","breast, ovarian, pancreatic, leukaemia  (FANCB, FANCD1)","BRCC2,CCDS9344.1,ENSG00000139618.14,FACD,FAD,FAD1,FANCD,FANCD1,P51587,XRCC11"
BRIP1,BRCA1 interacting protein C-terminal helicase 1,83990,17:61681266-61863521,1,,"AML, leukaemia, breast","BACH1,CCDS11631.1,ENSG00000136492.8,FANCJ,NM_032043.2,NP_114432,OF,Q9BX63"
CASP8,"caspase 8, apoptosis-related cysteine peptidase",841,2:201258036-201287711,1,"hepatocellular, oral squamous cell, breast",,"CCDS42798.1,Casp-8,ENSG00000064012.21,FLICE,MACH,MCH5,NM_001080125.1,NP_001073594,Q14790"
CCND1,cyclin D1,595,11:69641087-69654474,1,"CLL, B-ALL, breast",,"BCL1,CCDS8191.1,D11S287E,ENSG00000110092.3,NM_053056.2,NP_444284,P24385,PRAD1,U21B31"
CDH1,"cadherin 1, type 1, E-cadherin (epithelial) (ECAD)",999,16:68737225-68835548,1,"lobular breast, gastric",gastric,"CCDS10869.1,CD324,ENSG00000039068.18,NM_004360.4,NP_004351,P12830,UVO,uvomorulin"
CDKN1B,"cyclin-dependent kinase inhibitor 1B (p27, Kip1)",1027,12:12717124-12722371,1,"breast, small intestine neuroendocrine tumours","pituitary, parathyroid","CCDS8653.1,ENSG00000111276.10,KIP1,NM_004064.4,NP_004055,P27KIP1,P46527"
CHEK2,CHK2 checkpoint homolog (S. pombe),11200,22:28687763-28741838,1,,breast,"CCDS33629.1,CDS1,CHK2,ENSG00000183765.20,HuCds1,NM_001005735.1,NP_001005735,O96017,PP1425,RAD53,bA444G7"
CTCF,CCCTC-binding factor,10664,16:67562467-67639176,1,"endometrial, breast, head and neck cancer",,"CCDS10841.1,ENSG00000102974.15"
EP300,300 kd E1A-Binding protein gene,2033,22:41091786-41180079,1,"colorectal, breast, pancreatic, AML, ALL, DLBCL",,"CCDS14010.1,ENSG00000100393.12,KAT3B,NM_001429.3,NP_001420,Q09472,p300"
ERBB2,"v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)",2064,17:39700080-39728662,1,"breast, ovarian, other tumour types, NSCLC, gastric",,"CCDS32642.1,CD340,ENSG00000141736.13,HER-2,HER2,NEU,NGL,NM_004448.3,NP_004439,P04626"
ESR1,estrogen receptor 1,2099,6:151690496-152103274,1,breast,,"CCDS5234.1,ENSG00000091831.23,ER-alpha,ESR,Era,NM_001122742.1,NP_001116214,NR3A1,P03372"
ETV6,ets variant gene 6 (TEL oncogene),2120,12:11649854-11895402,1,"congenital fibrosarcoma, multiple different leukaemia and lymphoma tumour types including ALL, secretory breast, MDS",,"CCDS8643.1,ENSG00000139083.10,NM_001987.4,NP_001978,P41212,TEL"
FOXA1,forkhead box A1,3169,14:37589984-37595034,1,"breast, prostate",,"CCDS9665.1,ENSG00000129514.5,HNF3A,NM_004496.3,NP_004487,P55317"
GATA3,GATA binding protein 3,2625,10:8054653-8075203,1,breast,,"CCDS31143.1,ENSG00000107485.16,HDR,NM_001002295.1,NP_001002295,P23771"
HGF,Hepatocyte growth factor,3082,7:81699008-81770198,1,"breast cancer, lung cancer, multiple myeloma",bladder cancer,"CCDS5597.1,DFNB39,ENSG00000019991.16,F-TCF,HGFB,HPTA,NM_000601.5,NP_000592,P14210,SF"
IKZF3,IKAROS Family Zinc Finger 3,22806,17:39757715-39864188,1,"B-ALL, CLL, breast cancer, colorectal cancer",,"Aiolos,CCDS11346.1,ENSG00000161405.16,NM_012481.4,NP_036613,Q9UKT9,ZNFN1A3"
IRS4,insulin receptor substrate 4,8471,X:108732482-108736409,1,"glioma, rhabdomyosarcoma, melanoma, breast cancer, T-ALL",,"CCDS14544.1,ENSG00000133124.11,IRS-4,NM_003604.2,NP_003595,O14654,PY160"
KEAP1,kelch like ECH associated protein 1,9817,19:10486120-10503741,1,"NSCLC, breast carcinoma",,"CCDS12239.1,ENSG00000079999.13,INrf2,KIAA0132,KLHL19,MGC10630,MGC1114,MGC20887,MGC4407,MGC9454,NM_203500.1,NP_987096,Q14145"
MAP2K4,mitogen-activated protein kinase kinase 4,6416,17:12020834-12143830,1,"pancreatic, breast, colorectal",,"CCDS62095.1,ENSG00000065559.14,JNKK1,MEK4,MKK4,NM_001281435.1,NP_001268364,P45985,PRKMK4,SERK1"
MAP3K1,"mitogen-activated protein kinase kinase kinase 1, E3 ubiquitin protein ligase",4214,5:56815574-56896152,1,luminal A breast,,"CCDS43318.1,ENSG00000095015.5,MAPKKK1,MEKK,MEKK1,NM_005921.1,NP_005912,Q13233"
MAP3K13,mitogen-activated protein kinase kinase kinase 13,9175,3:185363120-185489097,1,breast,,"CCDS3270.1,ENSG00000073803.13,LZK,MEKK13,NM_004721.4,NP_004712,O43283"
NCOR1,nuclear receptor corepressor 1,9611,17:16029157-16215549,1,breast,,"CCDS11175.1,ENSG00000141027.20,KIAA1047,MGC104216,N-CoR,NM_006311.3,NP_006302,O75376,PPP1R109,TRAC1,hCIT529I10,hN-CoR"
NOTCH1,"Notch homolog 1, translocation-associated (Drosophila) (TAN1)",4851,9:136494433-136545786,1,"T-ALL, breast, bladder, skin SCC, lung SCC, head and neck SCC",,"CCDS43905.1,ENSG00000148400.10,NM_017617.4,NP_060087,P46531,TAN1"
NTRK3,"neurotrophic tyrosine kinase, receptor, type 3",4916,15:87876757-88256731,1,"congenital fibrosarcoma, secretory breast",,"CCDS32322.1,ENSG00000140538.16,NM_001012338.2,NP_001012338,Q16288,TRKC"
PALB2,partner and localizer of BRCA2,79728,16:23603170-23641310,1,,"Wilms tumour, medulloblastoma, AML ,breast","CCDS32406.1,ENSG00000083093.9,FANCN,FLJ21816,NM_024675.3,NP_078951,Q86YC2"
PBRM1,polybromo 1,55193,3:52547841-52685836,1,"clear cell renal carcinoma, breast",,"BAF180,CCDS43099.1,ENSG00000163939.18,NM_018313.4,NP_060783,PB1,Q86U86"
PIK3CA,"phosphoinositide-3-kinase, catalytic, alpha polypeptide",5290,3:179148523-179240093,1,"colorectal, gastric, glioblastoma, breast",,"CCDS43171.1,ENSG00000121879.4,NM_006218.3,NP_006209,P42336,PI3K"
POLQ,DNA polymerase theta,10721,3:121431431-121546006,1,oral SCC,breast cancer,"CCDS33833.1,ENSG00000051341.13,NM_199420.3,NP_955452,O75417,POLH"
PPM1D,"protein phosphatase, Mg2+/Mn2+ dependent 1D",8493,17:60600183-60666280,1,"glioma, ovarian cancer, breast cancer",,"CCDS11625.1,ENSG00000170836.11,NM_003620.3,NP_003611,O15297,PP2C-DELTA,Wip1"
RAD50,RAD50 Double Strand Break Repair Protein,10111,5:132556938-132646344,1,breast cancer,"breast cancer, ovarian cancer","CCDS34233.1,ENSG00000113522.13,NM_005732.3,NP_005723,Q92878,RAD50-2,hRad50"
RAD51C,RAD51 paralog C,5889,17:58692573-58735611,1,,"ovarian, breast","CCDS11611.1,ENSG00000108384.14,FANCO,NM_058216.2,NP_478123,O43502,RAD51L2"
RB1,retinoblastoma gene,5925,13:48303726-48481890,1,"retinoblastoma, sarcoma, breast, small cell lung carcinoma","retinoblastoma, sarcoma, breast, small cell lung carcinoma","CCDS31973.1,ENSG00000139687.14,NM_000321.2,NP_000312,OSRC,P06400,PPP1R130,RB"
SALL4,spalt like transcription factor 4,57167,20:51782331-51802520,1,"colorectal cancer, breast cancer, prostate cancer, glioblastoma, melanoma",,"CCDS13438.1,ENSG00000101115.12,NM_020436.4,NP_065169,Q9UJQ4,ZNF797,dJ1112F19.1"
TBX3,T-box 3,6926,12:114670255-114683590,1,"breast, large intestine, skin",,"CCDS9176.1,ENSG00000135111.15,NM_016569.3,NP_057653,O15119,TBX3-ISO,UMS,XHL"
TP53,tumor protein p53,7157,17:7668402-7687538,1,"breast, colorectal, lung, sarcoma, prostate, adrenocortical, glioma, Spitzoid tumour, multiple other tumour types","breast, sarcoma, adrenocortical carcinoma, glioma, multiple other tumour types","CCDS11118.1,ENSG00000141510.16,LFS1,NM_001276761.1,NP_001119584,NP_000537,NP_001263689.1,NP_001263690.1,P04637,p53"
